uniq,mass,gap_lo,gap_hi,exact,width
0.9985,0.001,0.0011370783935797195,0.001428817925282692,0.0,0.5288201531757464
0.997,0.002,0.0017725062709824286,0.0009846160606360084,0.0,0.5360412958094641
0.999,0.001,0.001339488762493642,0.0012036556150156013,0.0,0.5132877896146137
0.9985,0.0015,0.0007495197096344756,0.0009372546867429202,0.0,0.5465881921495885
0.996,0.0025,0.0004040853065601091,0.0015188343449786441,0.0,0.4909643271305719
0.9955,0.002,0.0014410726798086415,0.0005991730983293716,0.0,0.5329688562961676
0.998,0.001,0.0013281482048247788,0.0005551899488661268,0.0,0.5358920904397158
0.9975,0.0015,0.0008658027462286425,0.00214964866176078,0.0,0.5460238046679945
0.998,0.001,0.0028814895203455038,0.0006124668992154211,0.0,0.5422937328123822
0.999,0.001,0.0006825887942614924,0.001391851562830097,0.0005,0.5276954297676828
0.9975,0.001,0.0008616238856303434,0.0011232530323460794,0.0,0.5679363199261657
0.997,0.002,0.001384215664470186,0.0006930975230042454,0.0,0.5453027177039772
0.9975,0.001,0.0005834593289473963,0.0011843864911413131,0.0,0.5142016755460334
0.9975,0.003,0.002444139857941489,0.0013356792719780113,0.0,0.5313453223217524
0.9955,0.0025,0.0009819516037031424,0.001110121572970672,0.0,0.5240507165562458
0.9985,0.001,0.0009192693332327195,0.0014339248393853699,0.0,0.5583791213600864
0.9985,0.001,0.0014934269483439049,0.0027449601963584294,0.0,0.5295646331869853
0.9975,0.002,0.0016330564056976637,0.0007780120731437634,0.0,0.5154514176938908
0.9975,0.0015,0.0007471733105409347,0.0015552339641196622,0.0,0.5369554119284304
0.997,0.002,0.0010239497908015593,0.0010784120273406583,0.0,0.5303753099758834
0.9975,0.002,0.0003264196736592802,0.0006519183377684534,0.0,0.5315816591062172
0.998,0.001,0.001938333891299271,0.0009615970691859895,0.0,0.5409397358518643
0.997,0.002,0.0011362249210703872,0.0013977854370479936,0.0,0.5497955596631243
0.9965,0.0015,0.0006719787721783573,0.0004407905867013599,0.0,0.5386188543305859
0.9965,0.0025,0.0010074655041344045,0.0004889664148725233,0.0,0.5259282364502016
0.998,0.0015,0.0008517915352575697,0.0009735103708237899,0.0,0.5456588198079483
0.9975,0.0015,0.00039363245544950704,0.001123320399876171,0.0,0.5290607067925058
0.999,0.001,0.0014307808011556251,0.0006651365716055883,0.0,0.5330696390572044
0.996,0.002,0.0008129782537465621,0.0009795670563657783,0.0,0.5400781361290297
0.995,0.0025,0.0007629729686616423,0.0007015755409807886,0.0,0.5352716523753576
0.9995,0.001,0.002186021833722185,0.0008187526401304454,0.0,0.5453122705393222
0.997,0.002,0.0019188574420125892,0.001420069115417218,0.0005,0.5377311565594067
0.9975,0.001,0.0017528152302437316,0.001095979844845126,0.0,0.5380446765260062
0.999,0.001,0.001729394856471907,0.001635078649734704,0.0,0.5501108009412281
0.9995,0.001,0.0008468172446207678,0.0010716182847018512,0.0,0.5278988381227313
0.9985,0.001,0.0012992135053272829,0.0012230660490053502,0.0,0.5665376343831908
0.998,0.001,0.0012082493304514201,0.0011505151438033212,0.0,0.5324349644679871
0.998,0.0015,0.0005918783080649526,0.0009659149504644601,0.0005,0.5400384574158924
0.999,0.001,0.0011838345126820766,0.0008268443131509429,0.0,0.5394404131998877
0.9955,0.0025,0.0008644819224579159,0.0012046291036201435,0.0,0.5308841247250508
