est,lo,hi,L1,L2,L2a,L2b,L3,n_eff,n,delta
-0.002017320329161798,-0.28459596411258226,0.32295423329581746,False,False,False,False,True,7280,36495,0.0
0.0862302802787096,-0.18662112797176084,0.44628034927637955,True,False,False,False,True,6801,37808,0.0
-0.04978520418263965,-0.3815408633926162,0.36328069618024433,False,False,False,False,True,6533,38789,0.0
0.0366643004276801,-0.3103228246131337,0.4878471032863936,True,False,False,False,True,6823,37645,0.0
-0.10722261213551576,-0.45445977190758796,0.22723928547632166,False,False,False,False,True,6559,37682,0.0
-0.0335757506528811,-0.37762658132410143,0.28742241247061545,False,False,False,False,True,6085,38958,0.0
-0.10689801446577274,-0.44455126998746763,0.2251796697918291,True,False,False,False,True,6061,40791,0.0
-0.10349550394201934,-0.4337470098334681,0.23405428884273669,False,False,False,False,True,6414,38701,0.0
0.03917506155273198,-0.2600406533388108,0.33258717653036796,False,False,False,False,True,6740,37058,0.0
-0.07853508359344508,-0.4176319692347408,0.21716977075021587,False,False,False,False,True,7371,39128,0.0
0.04895181125411652,-0.2115585338107845,0.3154634111552341,True,False,False,False,True,7519,37436,0.0
-0.1248664595245419,-0.4708637868979035,0.18597283686722818,False,False,False,False,True,6308,39812,0.0
-0.06760173233705258,-0.37205207394782003,0.25428892022367533,False,False,False,False,True,6520,37462,0.0
0.1974680023075326,-0.10051557275232437,0.5314294478946824,True,False,False,False,True,6844,39418,0.0
-0.15776675750279745,-0.49387472301818086,0.17932829203866174,False,False,False,False,True,6806,38908,0.0
-0.10260555618766265,-0.4745078390738258,0.205405434173232,False,False,False,False,True,6463,37669,0.0
0.008590105127437297,-0.2871401107809332,0.3036104648255263,True,False,False,False,True,7342,37366,0.0
-0.15088118312115428,-0.49220325739380427,0.19149215975384049,False,False,False,False,True,6832,38912,0.0
-0.1219779050149139,-0.436161369662946,0.1598387312724604,False,False,False,False,True,7109,38343,0.0
-0.30777761518322455,-0.6498722961989641,0.08632762793473583,False,False,False,False,True,6639,37823,0.0
0.19764232537287096,-0.11999785206847578,0.495921050659184,True,False,False,False,True,6327,37583,0.0
-0.019225968324798615,-0.3758063289702551,0.25575968905149593,True,False,False,False,True,6988,39716,0.0
0.00037694942824906263,-0.32945410920192125,0.3708045400895294,False,False,False,False,True,6936,37895,0.0
-0.05869885753932991,-0.36017844696587975,0.25785348139500697,False,False,False,False,True,6889,39340,0.0
