signal,claim,ours_up,ours_med,n,n_eff,lo,hi,separate,same_sign
Z2G,1.24,1.0631484517355128,0.16075674882364277,536181,355232,-0.3816793893129722,0.07958615200955865,False,True
Z4,1.19,0.16479300237754457,0.008620853460761246,238481,65841,-0.5086071987480345,0.0,False,True
T2G,-0.37,-1.0748097896637387,-0.2072058782855657,504573,61669,-0.5551700208188737,-0.0970873786407922,False,True
T2,-1.17,-1.1071647134858087,-0.20413415275655766,349686,52208,-0.6136762127410877,-0.19047619047619646,False,True
T10,-1.57,0.40525203687128974,0.06869856687733433,108377,57783,-0.40000000000000036,0.0,False,False
T4,-1.56,-0.20209494680413775,-0.004672876798389458,243252,43169,-0.5089058524173073,0.0,False,True
T11,-2.07,1.4105879482800676,0.2586206896551646,40990,33583,-0.2954209748892267,0.20161290322580072,False,False
T6,-1.97,0.33325631902407227,0.07262519100036391,108205,72698,-0.3984063745019806,0.0,False,False
