universe,signal,composite,1D,1H,4H,cells,worst,pos
sp500,T6,T6L34NDP,0.338,0.059,0.032,3,0.032,3
sp500,T9,T9L12N,0.649,0.032,0.361,3,0.032,3
sp500,T2G,T2GL12EUR,0.288,0.032,0.108,3,0.032,3
sp500,T2,T2L12NH,0.051,0.032,0.114,3,0.032,3
sp500,Z10,Z10L12ND,0.071,0.031,0.134,3,0.031,3
sp500,T9,T9L12NB,0.375,0.031,0.354,3,0.031,3
sp500,T10,T10L25NB,,0.068,0.031,2,0.031,2
sp500,T2,T2L34NUR,0.362,0.029,0.352,3,0.029,3
sp500,Z2,Z2L25NB,0.477,0.029,0.249,3,0.029,3
sp500,T2,T2L12NB,0.091,0.028,0.259,3,0.028,3
sp500,Z6,Z6L5EB,0.609,0.027,0.268,3,0.027,3
sp500,T3,T3L34NDP,0.585,0.027,0.208,3,0.027,3
sp500,Z5,Z5L12NDP,,0.027,0.261,2,0.027,2
sp500,Z2G,Z2GL46EB,0.685,0.027,0.166,3,0.027,3
sp500,T2G,T2GL12NU,0.245,0.059,0.026,3,0.026,3
sp500,T4,T4L34NB,0.255,0.023,0.37,3,0.023,3
sp500,T4,T4L12NB,0.356,0.022,0.209,3,0.022,3
sp500,Z1,Z1L46ED,0.021,0.084,0.502,3,0.021,3
sp500,Z2,Z2L25NH,0.404,0.021,0.205,3,0.021,3
sp500,Z1,Z1L25ND,0.327,0.056,0.019,3,0.019,3
russell2k,Z12,Z12L46ED,0.101,0.018,0.351,3,0.018,3
sp500,T2,T2L3EU,0.018,0.057,0.069,3,0.018,3
sp500,Z11,Z11L12NU,0.673,0.014,0.396,3,0.014,3
nasdaq,Z7,Z7L5EB,,0.013,0.023,2,0.013,2
russell2k,Z4,Z4L5EB,0.013,0.08,0.255,3,0.013,3
sp500,Z9,Z9L25NH,0.013,0.049,0.128,3,0.013,3
sp500,T5,T5L25ND,0.456,0.013,0.488,3,0.013,3
sp500,Z6,Z6L25NUR,0.384,0.012,0.451,3,0.012,3
sp500,Z1,Z1L25NDP,0.227,0.012,0.201,3,0.012,3
russell2k,Z10,Z10L34NU,0.01,0.037,0.194,3,0.01,3
sp500,T2G,T2GL3EUR,0.293,0.01,0.156,3,0.01,3
sp500,Z11,Z11L12EU,0.181,0.009,0.21,3,0.009,3
sp500,T4,T4L34NDP,0.13,0.008,0.216,3,0.008,3
sp500,Z10,Z10L12NUR,0.008,0.05,0.359,3,0.008,3
sp500,Z2G,Z2GL25NH,0.533,0.008,0.258,3,0.008,3
sp500,T3,T3L12NUR,0.007,0.072,0.285,3,0.007,3
sp500,T1,T1L12NUR,0.006,0.059,0.163,3,0.006,3
