ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
KRNT,6537,-0.701,9.928,-0.229,-0.709,-1.398,-0.834,0.204,-0.792,-2.786,-0.371,0.472,-0.009,-0.697,-0.134,0.905,-0.091,-2.086,1
KROS,6377,-0.068,10.966,-0.306,-0.295,-0.05,-0.525,-0.268,1.369,-1.265,-0.1,-0.238,-0.227,0.019,-0.457,-0.199,1.437,-1.197,2
KRP,6758,0.191,4.465,0.825,0.418,0.19,0.0,0.694,0.314,-0.064,-3.701,0.634,0.227,-0.001,-0.191,0.503,0.123,-0.255,0
KRUS,6909,-0.177,11.607,-0.534,-0.339,0.735,0.331,-1.02,0.102,-2.245,-1.778,-0.357,-0.162,0.912,0.508,-0.843,0.279,-2.068,2
KRYS,8322,0.429,8.386,2.35,1.032,0.117,0.138,1.968,0.32,1.232,-3.852,1.922,0.604,-0.311,-0.291,1.539,-0.108,0.804,1
KSS,8867,-0.422,8.983,0.231,-0.253,0.251,-0.995,0.601,0.523,-2.087,-1.273,0.653,0.17,0.673,-0.572,1.023,0.945,-1.665,1
KTB,8842,0.247,5.926,-0.022,0.212,0.185,0.353,0.37,0.376,0.369,-3.016,-0.269,-0.035,-0.062,0.106,0.123,0.129,0.122,0
KTOS,8797,0.368,7.342,-0.102,0.781,0.409,0.074,0.513,-0.053,-0.616,-0.735,-0.47,0.413,0.041,-0.294,0.145,-0.421,-0.984,0
KURA,7601,-0.631,9.08,-0.827,-1.056,-0.231,-0.403,-0.873,-0.995,-0.657,-5.393,-0.196,-0.425,0.401,0.228,-0.241,-0.364,-0.026,2
KVUE,5636,-0.217,3.664,-0.189,-0.386,-0.513,0.165,0.233,-0.728,-1.954,-0.573,0.029,-0.169,-0.295,0.382,0.451,-0.511,-1.737,0
KVYO,4972,-0.077,8.377,1.402,-0.927,0.249,-0.129,0.689,0.259,-2.198,-7.018,1.479,-0.85,0.325,-0.053,0.766,0.335,-2.122,1
KW,7497,0.0,5.007,-0.169,0.103,-0.045,-0.076,0.242,0.758,0.515,-2.679,-0.169,0.103,-0.045,-0.076,0.242,0.758,0.515,0
KWR,7519,-0.272,6.047,0.031,-0.308,-0.191,-0.191,0.808,-1.199,-0.365,-1.178,0.303,-0.036,0.081,0.081,1.08,-0.927,-0.093,0
KYMR,8624,0.051,10.818,0.463,-0.312,-0.388,0.212,-0.501,-0.89,-1.12,-3.373,0.412,-0.363,-0.439,0.16,-0.552,-0.941,-1.171,2
