seed,delta,needle,pseudo,band_p95,best_est,best_cell,n_promoted,unrelated_false_promotions,overlap_affected_promotions,true_cell_rank,rank_found,search_promoted,final_accepted,needle_verdict,needle_n
100008,0.6,sig_lead_in_lag+sig_macro_vix_up,sig_lead_in_lag+sig_macro_vix_up,3.2112404610961676,3.893093951046467,rsi<35&rs,1,1,0,3.0,True,False,False,NOT_PROMOTED,7087.0
100009,0.6,sig_rs_intact+sig_conso,sig_rs_intact+sig_conso,3.309424025937915,4.167036986351013,rsi<35&rs,1,0,1,25.0,False,False,False,,78019.0
100010,0.6,rsi35-50&rs,rsi35-50&rs,3.3415910601615906,3.758616093546152,rsi<35&rs,1,1,0,3.0,True,False,False,NOT_PROMOTED,39610.0
100011,0.6,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.253139560110867,3.954655764997005,rsi<35&rs,1,0,1,3.0,True,False,False,NOT_PROMOTED,14608.0
100012,0.6,sig_conso+sig_macro_vix_up,sig_conso+sig_macro_vix_up,3.2948753278702494,3.86955821365118,rsi<35&rs,1,0,1,21.0,False,False,False,,43278.0
100013,0.6,rsi35-50,rsi35-50,3.301009424291551,3.563378471881151,rsi<35&rs,1,1,0,17.0,False,False,False,,128411.0
100014,0.6,adx3&rs,adx3&rs,3.320942991413176,3.9038624614477158,rsi<35&rs,1,0,1,16.0,False,False,False,,41432.0
100015,0.6,sig_rs_intact+sig_h1_dr,sig_rs_intact+sig_h1_dr,3.3381828569993375,4.113538092374801,rsi<35&rs,1,0,1,11.0,False,False,False,,36246.0
100016,0.6,¬sig_conso,¬sig_conso,3.265469725616276,3.8879452273249626,rsi<35&rs,1,0,1,23.0,False,False,False,,77937.0
100017,0.6,sig_rs_intact+sig_conso+sig_lead_in_lag,sig_rs_intact+sig_conso+sig_lead_in_lag,3.301844750531018,4.016735497862101,rsi<35&rs,1,0,1,10.0,False,False,False,,28006.0
100018,0.6,sig_conso+sig_lead_in_lag,sig_conso+sig_lead_in_lag,3.2679568929597735,4.016735497862101,rsi<35&rs,1,0,1,9.0,False,False,False,,28006.0
100019,0.6,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.2828438747674227,3.954655764997005,rsi<35&rs,1,0,1,3.0,True,False,False,NOT_PROMOTED,14608.0
100020,0.6,rsi<35&rs,rsi<35&rs,3.297723620198667,4.4374429568648335,rsi<35&rs,1,0,0,1.0,True,True,True,BUILD,7505.0
100021,0.6,rsi50-65&rs,rsi50-65&rs,3.1978929368779063,3.756097611039877,rsi<35&rs,1,1,0,34.0,False,False,False,,36762.0
100022,0.6,rsi50-65&rs,rsi50-65&rs,3.2385499167069787,3.756097611039877,rsi<35&rs,1,1,0,34.0,False,False,False,,36762.0
100023,0.6,sig_conso+sig_lead_in_lag+sig_h1_dr,sig_conso+sig_lead_in_lag+sig_h1_dr,3.2154091773554683,3.892684727907181,rsi<35&rs,1,1,0,4.0,True,False,False,NOT_PROMOTED,11489.0
100024,0.6,¬sig_lead_in_lag,¬sig_lead_in_lag,3.2348067642375824,3.606453631073236,rsi<35&rs,1,0,1,42.0,False,False,False,,253388.0
100025,0.6,¬sig_conso,¬sig_conso,3.3100687904283403,3.8879452273249626,rsi<35&rs,1,0,1,23.0,False,False,False,,77937.0
100026,0.6,sig_conso+sig_lead_in_lag+sig_h1_dr,sig_conso+sig_lead_in_lag+sig_h1_dr,3.252629116177559,3.892684727907181,rsi<35&rs,1,1,0,4.0,True,False,False,NOT_PROMOTED,11489.0
100027,0.6,¬sig_h1_dr,¬sig_h1_dr,3.156345644704997,3.618991747498512,rsi<35&rs,1,0,1,39.0,False,False,False,,253221.0
100028,0.6,sig_h1_dr+sig_macro_vix_up,sig_h1_dr+sig_macro_vix_up,3.3254855312407017,3.9331427723169323,rsi<35&rs,1,1,0,7.0,False,False,False,,10952.0
100029,0.6,sig_rs_intact+sig_lead_in_lag,sig_rs_intact+sig_lead_in_lag,3.2914923038333654,4.112638253718615,rsi<35&rs,1,0,1,5.0,True,False,False,NOT_PROMOTED,36079.0
100030,0.6,rsi50-65,rsi50-65,3.1317697279527783,3.670355211943388,rsi<35&rs,1,1,0,39.0,False,False,False,,74125.0
100031,0.6,sig_lead_in_lag+sig_h1_dr,sig_lead_in_lag+sig_h1_dr,3.257656805478036,3.954655764997005,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,14608.0
100032,0.6,¬sig_macro_vix_up,¬sig_macro_vix_up,3.1374361598864193,3.8234310224652286,rsi<35&rs,1,0,1,31.0,False,False,False,,228272.0
100033,0.6,adx1&rs,adx1&rs,3.1309296330437064,3.7831048481166363,rsi<35&rs,1,1,0,37.0,False,False,False,,22123.0
100034,0.6,sig_conso+sig_h1_dr,sig_conso+sig_h1_dr,3.2986690246313812,4.018883960694074,rsi<35&rs,1,0,1,16.0,False,False,False,,28630.0
100035,0.6,¬sig_h1_dr,¬sig_h1_dr,3.1932308943942185,3.618991747498512,rsi<35&rs,1,0,1,39.0,False,False,False,,253221.0
100036,0.6,rsi35-50&conso,rsi35-50&conso,3.227832648269832,3.6113697104156017,rsi<35&rs,1,1,0,21.0,False,False,False,,98388.0
