dp,arr,arr_lo,arr_hi,rr,rr_lo,n_events,n_dates,R1,R2,R3,R4,R6,EST,verdict
0.0,2.3410883401659923,0.5206185343541677,4.816481547582105,1.0703310017676775,1.0154187945619233,40522,520,True,False,True,True,False,True,False
0.0,2.285172646519762,0.308016216910884,4.15718424457792,1.0686343195738273,1.0089797724860414,41090,520,False,False,True,True,False,True,False
0.0,0.5304274133885067,-1.509543770441598,2.6549017455118125,1.0156015103998264,0.9565002903041276,39461,520,True,False,False,True,False,False,False
0.0,0.5674813035903281,-1.4209730214352547,2.8534225739011014,1.0166985850727928,0.9583704272254716,39489,520,False,False,False,True,False,False,False
0.0,-0.7230824734912322,-2.8470450371311378,1.3533879550647498,0.979041686490399,0.9197385836680703,39509,520,False,False,False,True,True,False,False
0.0,3.1936176170162645,1.1290655375691923,5.046171690705834,1.0969283087294353,1.033342336145515,41201,520,True,False,True,True,False,True,False
0.0,0.17485678049366515,-2.0761830636379126,2.156337210573631,1.0051222669705595,0.9408661444279944,40633,520,False,False,False,True,True,False,False
0.0,-0.5161580956637712,-2.3224442965324625,1.5676488269811406,0.9850010914539261,0.9340052998119653,38856,520,False,False,False,True,True,False,False
0.0,-1.2142431048874358,-3.1096876567002716,0.5843656162255647,0.9649921126279748,0.9121600531438042,37957,520,False,False,False,True,True,False,False
0.0,0.4396468595394276,-1.3498111231028402,2.485252423007393,1.0129186918751178,0.9611760779201646,39969,520,False,False,False,True,True,False,False
0.0,-0.6020674812629023,-2.6807475460784596,1.6555462323173165,0.9825229298058522,0.9253009255608537,39102,520,False,False,False,True,True,False,False
0.0,0.9407221095386109,-1.0184806061137808,3.063355934073135,1.0278167917974126,0.9707454051360557,41612,520,False,False,False,True,True,False,False
0.0,1.1303315115985146,-1.170128032037894,3.02701610007957,1.0334875636145604,0.9664488899934213,40528,520,False,False,False,True,True,False,False
0.0,0.8721488194454674,-1.2044316926526064,2.9540281540650506,1.02575656555821,0.9656911694663498,39934,520,True,False,False,True,True,False,False
0.0,0.40455613872291685,-1.539633528691071,2.594864412916565,1.0118802236322064,0.9552877726447929,38234,520,False,False,False,True,False,False,False
0.0,0.7308091710926945,-1.6093245854944713,2.754305977246074,1.0215496617181414,0.9538307353845634,40471,520,False,False,False,True,False,False,False
0.0,0.7283684958294456,-1.3216763686951365,2.9194812051530885,1.0214695048186504,0.9613399745131649,38841,520,False,False,False,True,True,False,False
0.0,1.0031466520855403,-1.0341873811705995,3.1411916939736253,1.0296688407277892,0.9701741540055154,39791,520,False,False,False,True,True,False,False
0.0,0.5945249058778246,-1.5105664078147334,2.7768382035958012,1.0175027521477171,0.9567060593569786,40440,520,False,False,False,True,True,False,False
0.0,0.840368152502724,-1.0760309571653242,3.075100901449427,1.0248069163650404,0.969615845634256,39617,520,False,False,False,True,True,False,False
0.0,-0.0807123161996881,-2.2715461655014657,2.10190082038945,0.9976427613990922,0.9355200885224009,39046,520,False,False,False,True,True,False,False
0.0,-0.6274798460417841,-2.71846263767567,1.6107125387314385,0.981790254795345,0.9232153726252276,38976,520,False,False,False,True,True,False,False
0.0,0.9656417419794949,-1.14529047059688,3.061083060023514,1.0285456594144948,0.967122781236439,39592,520,True,False,False,True,False,False,False
0.0,1.3225567843444808,-0.8385254650810371,3.314597728608445,1.0392649969109111,0.975550461858761,40182,520,True,False,False,True,True,False,False
0.0,1.4737736453463601,-0.5615091981573183,3.5334944465416407,1.0438296285655946,0.9833611299909657,40132,520,False,False,False,True,True,False,False
0.0,1.1348483054787362,-1.1531051298566197,3.078244632906851,1.0336226644473523,0.9664656300298379,40485,520,False,False,False,True,False,False,False
0.0,0.3203295031824316,-1.5973168491919534,2.5565466660210667,1.009400097372865,0.9537460298155739,40649,520,False,False,False,True,False,False,False
0.0,-1.4636068131855529,-3.761920438451892,0.2719995006596694,0.957931983893142,0.8941931028704162,38369,520,False,False,False,True,True,False,False
0.0,1.454079013454912,-0.6009139036469554,3.497271701648472,1.043227665784389,0.9824554682828404,39786,520,True,False,False,True,False,False,False
0.0,0.6018124032846239,-1.4436820986177417,2.8772486676637836,1.0177158786147853,0.9584068286577544,39511,520,False,False,False,True,False,False,False
0.0,1.0528018636447867,-1.333734825453267,3.188258504591344,1.0311622348362162,0.9616728993752062,40512,520,False,False,False,True,True,False,False
0.0,2.1394464284193004,0.16235197276437993,4.1625253212326845,1.0640995769437254,1.0047998151967756,39876,520,True,False,True,True,True,True,False
0.0,0.11120979771345185,-1.9651246719843587,2.2049036465090355,1.0032552488208615,0.9439424776392439,40110,520,False,False,False,True,True,False,False
