ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
MMYT,🏦majority,0.191,7.139,0.53,-0.261,-0.118,0.055,0.702,0.527,-0.668,-0.651
MNDY,🏦majority,-0.304,10.354,0.436,-0.221,-0.439,0.197,0.085,0.038,0.409,-2.656
MNRO,🏦majority,-0.625,6.594,0.338,0.101,-0.235,0.079,0.143,0.078,-0.128,-2.98
MNST,🏦majority,0.363,3.243,-0.105,0.047,0.167,-0.056,0.006,-0.219,-0.029,0.241
MO,🏦majority,0.288,3.028,0.111,-0.009,-0.046,-0.14,0.111,-0.053,-0.135,-0.783
MOD,🏦majority,1.221,9.77,0.479,0.221,-0.03,0.424,0.328,0.11,-0.164,1.042
MOH,🎲chase,0.247,5.705,-0.404,0.024,0.121,-0.321,-0.268,-0.091,-0.08,-1.35
MORN,🏦majority,0.088,4.879,-0.125,-0.042,0.059,-0.064,-0.078,-0.266,-0.051,-3.616
MOS,🎲chase,0.096,5.851,-0.151,0.155,0.148,0.182,-0.178,0.042,-0.538,-2.193
MP,🏦majority,-0.131,9.655,0.169,0.131,0.153,-0.069,0.139,-0.138,-1.133,1.013
MPC,🎲chase,0.82,4.748,-0.33,-0.177,0.103,-0.097,-0.171,0.097,0.845,-1.416
MPLX,🏦majority,0.448,2.799,0.42,0.089,-0.038,-0.045,0.376,-0.087,-0.129,-0.744
MPWR,🏦majority,0.75,6.885,0.218,0.397,0.223,-0.117,0.303,0.052,0.341,0.764
MQ,🏦majority,-0.322,8.434,0.876,0.08,-0.124,-0.325,0.729,0.208,-2.323,-7.708
MRCY,🏦majority,0.0,6.728,0.061,0.0,-0.165,0.0,0.132,0.219,0.435,-3.148
MRK,🏦majority,0.113,3.515,-0.137,0.01,0.068,-0.04,-0.057,0.142,-0.427,-0.661
MRNA,🎲chase,-0.375,9.847,-0.417,-0.031,0.099,0.187,-0.042,0.426,0.116,-3.398
MRTN,🏦majority,-0.235,5.901,-0.05,-0.016,-0.053,-0.113,-0.003,0.12,-0.395,0.85
MRVI,🏦majority,-0.771,9.891,0.683,-0.195,-0.295,0.228,0.198,-0.132,0.201,0.052
MRVL,⚡panic,0.724,8.416,0.68,0.399,0.012,-0.245,0.576,-0.42,0.286,-1.159
MRX,🏦majority,1.232,6.374,0.744,0.182,-0.234,0.199,0.208,-0.148,-0.471,4.01
MS,🏦majority,0.439,4.115,-0.079,0.124,0.09,-0.038,0.198,0.052,0.183,0.206
MSA,🏦majority,0.096,3.836,0.358,0.043,-0.106,-0.15,0.194,0.039,-0.308,-4.287
MSCI,🏦majority,0.118,4.177,0.166,0.117,0.017,-0.152,0.216,0.059,-0.068,-2.422
MSDL,🏦majority,-0.334,3.096,0.383,0.147,-0.079,-0.224,0.286,0.141,0.487,0.166
MSEX,🏦majority,-0.175,6.545,0.312,-0.024,-0.132,-0.196,-0.267,-0.148,-0.057,-6.079
MSFT,🏦majority,0.357,3.777,-0.106,0.06,0.089,-0.112,-0.3,0.128,-0.023,-0.909
MSGE,🎲chase,0.73,7.195,-0.315,0.175,-0.095,0.331,-0.346,-0.48,0.387,-3.162
MSGS,🏦majority,0.243,3.943,-0.033,0.034,0.025,0.062,-0.134,0.251,-0.243,-0.337
MSI,🏦majority,0.554,3.13,-0.1,0.084,0.014,-0.06,0.097,-0.003,0.2,-1.339
MSM,🏦majority,0.251,3.388,0.085,0.216,0.026,-0.202,0.175,-0.138,0.149,-1.296
MSTR,🎲chase,-0.303,12.874,-0.833,-0.049,-0.032,0.339,-0.374,0.292,-1.117,-2.287
MT,🏦majority,0.544,5.548,-0.155,0.232,0.087,-0.279,-0.133,0.317,0.487,2.272
MTB,🏦majority,0.295,4.119,0.152,0.017,-0.15,-0.106,0.013,-0.194,0.239,-1.872
MTCH,🏦majority,-0.267,5.849,0.049,-0.02,0.014,0.064,0.243,0.267,-0.801,-1.368
MTD,🏦majority,0.273,4.536,0.182,0.227,0.103,-0.396,0.106,0.008,-0.004,0.807
MTDR,🏦majority,0.414,6.672,0.317,0.015,0.113,-0.17,0.464,0.097,-0.414,-3.298
MTG,🏦majority,0.532,3.471,0.194,0.048,-0.177,-0.019,0.248,-0.025,-0.173,-0.627
MTH,🏦majority,0.038,5.406,-0.383,0.158,-0.069,0.007,-0.08,-0.519,-0.4,-0.462
MTN,🏦majority,-0.215,4.261,0.335,0.151,-0.182,0.059,0.089,0.093,-0.217,-1.629
MTRN,🏦majority,0.798,7.338,0.178,0.337,0.341,-0.383,-0.091,0.18,-0.275,-2.161
MTSI,🏦majority,0.601,6.106,0.533,0.123,0.04,-0.336,0.48,-0.02,0.528,-1.328
MTX,🏦majority,0.109,5.13,-0.139,0.341,-0.157,-0.189,-0.123,0.323,0.284,-1.146
MTZ,🏦majority,0.813,6.149,-0.138,0.164,0.161,0.057,0.059,0.072,0.354,1.201
MU,🎲chase,0.591,8.052,-0.365,-0.139,-0.267,-0.022,-0.541,-0.091,0.96,-1.597
MUR,🎲chase,0.491,6.405,-0.237,0.01,0.151,-0.069,-0.321,-0.266,0.264,-2.633
MUSA,🏦majority,0.511,4.219,0.559,0.133,-0.19,0.018,0.268,-0.07,-0.296,-3.085
MUX,⚡panic,1.034,11.289,0.357,0.519,-0.236,-0.543,0.201,-1.269,-0.93,-3.552
MWA,🏦majority,0.225,4.362,-0.05,0.206,-0.041,-0.148,0.041,-0.225,0.306,-1.967
MXL,⚡panic,0.406,11.06,0.11,-0.121,-0.012,-0.436,0.255,-0.029,0.083,-3.464
MYGN,🏦majority,-0.807,8.88,0.364,-0.237,-0.537,0.241,0.264,0.183,-1.227,-2.289
MYRG,🏦majority,1.013,7.008,0.229,0.22,-0.235,-0.232,0.266,0.473,-0.4,0.65
NABL,🎲chase,-0.597,7.33,-0.028,0.597,0.116,0.352,-0.138,-0.397,-0.804,-4.252
NAMS,🎲chase,0.197,12.481,-0.98,0.178,0.035,-0.06,-0.361,-1.144,0.765,-1.961
NATL,🏦majority,0.254,6.144,0.499,0.217,-0.435,-0.192,0.35,0.325,-0.289,0.268
NAVI,🏦majority,0.0,5.091,0.174,0.134,0.058,-0.168,0.128,0.382,0.0,-4.496
NBHC,🏦majority,0.0,6.081,0.486,0.05,0.129,0.192,0.051,-0.839,-0.555,-4.059
