ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AGNC,🏦majority,0.062,5.409,-1.154,0.149,0.038,-0.657,-0.591,0.234,-1.021,
AGO,🏦majority,0.623,5.027,0.498,0.413,-0.96,0.152,0.134,-0.562,0.513,
AGRO,🎲chase,0.086,8.975,-0.086,0.172,-0.075,-0.442,-0.426,5.522,2.389,
AGX,🏦majority,3.214,10.411,-2.159,1.895,0.23,-1.369,,-0.936,0.458,
AGYS,⚡panic,0.102,9.551,-0.877,0.223,-0.867,-2.159,4.168,,-0.042,
AHCO,🏦majority,-0.091,10.695,-0.561,1.742,-1.436,0.183,2.588,-0.691,4.678,
AI,⚡panic,-2.135,14.111,3.184,-0.464,1.27,-0.66,2.069,,-0.593,
AIG,🏦majority,0.751,4.835,1.045,0.734,0.636,0.035,0.993,-0.349,2.269,
AIN,🏦majority,0.309,6.089,2.294,0.452,-0.566,-0.35,0.516,-0.28,0.144,
AIR,🏦majority,1.347,7.0,1.805,1.265,0.593,0.417,1.161,-1.024,1.047,
AIT,🏦majority,0.93,5.247,2.923,0.87,-0.113,-0.47,2.33,-1.112,-0.716,
AIV,🏦majority,0.0,6.216,-0.896,0.948,0.0,0.131,1.0,,-0.35,
AIZ,🏦majority,0.616,4.583,2.047,0.14,0.054,-0.952,1.412,-1.088,-0.471,
AJG,🏦majority,0.999,4.627,1.367,0.183,0.021,-0.597,0.626,-1.066,1.628,-4.088
AKAM,🏦majority,0.315,7.617,1.895,-0.385,1.257,-0.135,1.719,-0.048,0.002,
AKR,🏦majority,0.295,5.002,1.289,0.183,-0.842,-0.338,1.032,-1.205,0.724,
ALB,🎲chase,-0.116,10.262,1.232,-2.143,1.288,1.673,-3.393,-0.084,1.343,-10.751
ALC,🏦majority,0.226,5.241,0.886,-0.211,1.072,-1.415,0.061,,0.378,
ALG,🏦majority,-0.218,6.187,0.135,1.028,0.0,0.113,1.179,-1.089,0.38,
ALGM,🏦majority,0.513,10.955,0.941,0.639,-0.948,-0.112,0.941,-1.725,2.265,-8.403
ALGN,🎲chase,-0.317,9.397,-0.54,-0.156,0.331,0.212,-1.399,-0.743,0.518,
ALGT,🎲chase,-0.26,10.63,-2.735,-0.053,-1.757,1.937,-2.276,,-0.161,
ALHC,🎰lottery,-0.605,14.022,4.036,-1.411,0.741,0.008,2.168,4.73,,-17.547
ALIT,🏦majority,-0.132,9.751,-0.525,1.226,-1.557,-1.234,1.729,,0.863,
ALK,🎲chase,0.23,8.647,-2.68,1.162,0.953,1.121,-1.048,2.906,0.609,
ALKS,🏦majority,0.176,7.223,0.021,0.739,0.44,0.651,1.328,2.739,0.612,
ALKT,🏦majority,0.261,10.286,2.485,-0.309,0.277,-0.266,0.703,-1.587,3.713,
ALL,🏦majority,0.764,4.791,1.811,0.687,0.88,0.222,0.04,-1.391,-1.588,-2.991
ALLE,🏦majority,0.03,4.999,0.546,-0.646,-0.927,-1.214,0.0,0.577,0.681,
ALLY,⚡panic,0.142,7.081,4.947,0.214,0.09,-1.188,2.311,0.058,0.129,-0.93
ALNY,🏦majority,0.032,10.278,1.463,-0.113,0.517,-0.008,-0.026,,-0.594,
ALRM,🏦majority,-0.285,5.885,2.123,-0.457,0.669,0.669,1.821,0.028,-1.335,
ALSN,🏦majority,0.706,5.798,1.537,-0.545,0.278,0.269,1.118,-2.484,0.366,
ALT,⚡panic,-2.185,19.483,6.914,-2.517,-1.176,2.392,1.735,,2.8,
ALV,🏦majority,0.202,5.92,1.447,1.277,-0.798,0.149,1.761,-1.24,0.452,
AM,🏦majority,0.725,4.815,3.172,0.564,0.822,-0.258,1.635,-1.401,-0.049,-5.949
AMAT,🏦majority,1.208,8.461,2.099,0.418,1.238,-0.712,-1.291,-5.067,-1.151,-2.127
AMBA,🎰lottery,0.43,12.568,1.284,-2.103,0.342,0.148,0.796,0.0,1.854,-21.508
AMCR,🏦majority,-0.149,4.413,0.79,-0.122,-0.394,-0.965,1.213,,0.371,
AMCX,⚡panic,-0.994,12.058,2.051,-0.493,-2.123,-2.195,-0.175,0.501,2.658,
AMD,🎲chase,0.848,11.32,0.741,-1.557,1.425,1.489,-2.313,1.328,-3.111,
AME,🏦majority,0.428,4.075,1.647,-0.091,-0.441,-0.588,0.918,-0.41,-0.649,
AMG,🎰lottery,0.807,6.055,0.294,-0.562,-0.806,-1.012,0.736,-1.012,0.71,-12.29
AMGN,🏦majority,0.379,4.573,-0.629,0.025,0.444,0.53,-0.625,-2.223,-0.885,
AMH,🏦majority,0.187,4.066,2.036,-0.187,0.005,-0.079,2.304,-0.004,-2.187,-2.873
AMKR,🏦majority,0.498,11.018,1.075,-0.372,0.25,-1.251,-0.041,0.917,-2.266,-2.651
AMLX,⚡panic,0.0,16.74,3.608,-0.541,0.204,-1.141,1.195,3.495,0.279,
AMN,⚡panic,0.102,10.057,2.252,-0.707,0.277,-0.007,2.658,0.14,3.603,
AMP,🏦majority,0.695,5.296,2.933,-0.188,0.199,-0.716,0.659,-0.898,-0.798,-1.845
AMPH,🎰lottery,0.685,9.297,-0.545,-0.41,0.673,-0.807,-0.11,1.246,1.483,-22.113
AMPL,⚡panic,-1.053,12.476,2.224,-0.363,1.477,-0.795,0.197,,4.507,
AMR,🎲chase,1.458,12.096,-3.583,-0.63,0.209,2.911,-0.857,-3.824,-1.836,-4.166
AMRC,🎲chase,-0.421,14.57,2.156,-1.632,1.319,0.497,-2.516,7.431,1.744,
AMSC,🎲chase,1.737,18.291,0.34,-1.48,-1.167,0.775,-9.277,1.479,1.132,
AMSF,🏦majority,-0.684,5.264,1.543,0.446,-0.107,-1.202,1.516,,-2.373,
AMT,🏦majority,0.122,5.322,1.405,-0.745,-0.213,-0.578,0.23,0.884,1.38,
AMWD,🏦majority,-0.287,8.451,-0.536,0.99,0.578,0.066,1.097,0.591,-2.271,
AMZN,🏦majority,0.749,6.891,2.855,-0.091,0.976,-0.402,2.777,0.353,-1.351,
AN,🏦majority,0.634,6.426,1.706,0.78,0.951,0.371,2.503,1.101,-1.058,
ANAB,⚡panic,1.002,13.04,3.344,0.369,0.123,-0.041,2.733,-1.803,4.803,
ANDE,🏦majority,1.113,7.555,2.919,0.449,-0.375,-0.641,2.096,,-0.553,-2.526
ANET,🏦majority,1.813,9.119,1.37,0.787,-0.052,0.923,3.32,-0.661,0.315,-2.851
ANF,🎲chase,1.463,11.891,-2.704,-1.152,0.074,-1.354,-0.95,0.777,-0.133,-7.563
ANGI,⚡panic,-2.873,15.422,1.257,-1.391,-0.481,-4.067,1.013,,,
ANGO,🎲chase,0.15,11.637,1.457,0.239,2.603,0.657,1.465,-1.547,-1.468,
ANIP,🎰lottery,0.543,10.121,3.253,0.563,0.016,-0.775,2.389,0.425,0.471,-12.38
AON,🏦majority,0.724,4.4,1.826,-0.038,-0.433,-0.837,0.678,-0.428,-0.228,-6.127
AORT,🏦majority,1.083,11.374,-0.409,0.802,0.311,-1.359,2.282,,,
AOS,🏦majority,-0.138,5.266,0.0,0.308,0.789,-0.828,-0.187,-1.011,0.247,
AOSL,⚡panic,0.634,14.272,3.391,-0.353,-0.776,0.733,1.25,1.31,3.493,
APA,⚡panic,0.374,9.134,3.621,-0.844,-1.537,-0.266,1.513,-0.549,-1.246,
APAM,🎰lottery,-0.199,6.349,1.068,0.763,0.114,-1.019,0.681,0.326,-0.354,-14.169
APD,🏦majority,-0.003,5.188,0.02,0.204,0.388,0.362,0.778,0.27,-0.177,-5.531
APG,🏦majority,0.93,6.283,1.797,-0.795,0.187,1.118,-0.592,-2.355,-2.991,-0.363
APH,🏦majority,1.466,5.838,0.645,-0.61,0.011,0.014,0.51,1.589,0.11,-5.172
APLE,🏦majority,0.118,4.832,1.37,0.656,-0.45,-0.179,2.798,,0.194,
APO,🏦majority,1.042,7.067,1.374,0.351,-0.342,0.709,-0.586,0.573,-0.742,
APOG,🏦majority,0.117,6.97,-0.738,0.934,1.535,-0.4,-0.595,-0.483,-2.637,
APP,🎲chase,2.256,15.344,-0.353,-2.745,0.307,1.063,2.377,3.114,-0.973,-6.508
APPF,⚡panic,0.63,7.956,2.068,1.042,-1.547,-0.221,3.855,-0.25,1.487,
APPN,⚡panic,-1.425,10.936,2.773,0.427,-0.22,-1.736,0.31,1.821,2.435,
APPS,🎲chase,-2.285,16.478,0.048,-0.924,3.368,1.173,-0.454,,,
APTV,⚡panic,-0.682,8.113,1.878,-0.413,-0.673,0.247,1.502,-1.543,-1.031,
AQN,🏦majority,-0.072,5.87,0.61,-0.028,-0.268,-0.224,0.288,-2.021,0.869,
AR,🎲chase,0.708,9.677,3.942,-0.84,0.972,0.596,-0.219,1.63,-0.618,-10.22
ARCB,🏦majority,0.436,9.938,2.171,0.309,0.822,-0.529,1.014,0.257,-2.682,
ARCC,🏦majority,0.392,3.592,1.779,0.588,-0.128,0.337,1.192,-0.59,0.588,
ARCO,🏦majority,0.0,6.482,2.276,0.0,-0.799,-0.754,2.276,-0.966,1.602,
ARCT,⚡panic,-1.32,17.661,2.596,-0.012,-1.982,-0.904,6.358,3.7,9.583,-11.485
ARE,🏦majority,-0.431,6.724,0.47,-0.153,0.921,-0.539,0.42,2.21,-3.039,
ARES,🏦majority,1.3,7.265,-1.283,1.597,0.866,0.448,-1.315,0.208,-1.105,-0.46
ARHS,⚡panic,0.43,13.791,1.874,-1.457,1.819,0.641,5.561,-0.849,5.067,
ARI,🏦majority,-0.206,6.687,1.806,0.498,-1.161,-0.32,0.458,0.544,0.316,
ARIS,🎲chase,-0.284,14.654,0.244,1.198,1.667,0.401,-0.655,,0.158,
