est,lo,hi,se_boot,width
0.5146669639585205,0.1881479230084318,0.7961244530938016,0.16836966641613513,0.6079765300853699
0.5884296494466085,0.22519071019754783,0.9302126861166,0.17091047705594822,0.7050219759190521
0.5688218626193281,0.2638776062712761,0.8999791296636248,0.16420093306598307,0.6361015233923487
0.8738112357992818,0.529774958906935,1.1664098979312019,0.16818767903360268,0.6366349390242668
0.6864260912203374,0.38405432125075634,1.0920450120235927,0.18215720664624846,0.7079906907728364
0.4478922207735708,0.0812536848541684,0.7854302861489316,0.182734161288733,0.7041766012947632
0.5946948378465761,0.2685001397841033,0.9006804937902981,0.16248258828079631,0.6321803540061948
0.6927272748469598,0.4268891847772627,1.0270898695806399,0.16188398921113403,0.6002006848033772
0.47967885638220353,0.10048004974763382,0.8095418270366523,0.19169107190578943,0.7090617772890185
0.4777762981401418,0.12231438937593375,0.8707632858632491,0.18029232410703772,0.7484488964873154
0.5511017190189865,0.2116635543418982,0.8432052356344166,0.15926959821768003,0.6315416812925184
0.581085128113778,0.24839657896352174,0.8369784339653047,0.1451092788974107,0.588581855001783
0.6100852336259338,0.2769923051400705,0.9443619304639396,0.18760729439110557,0.667369625323869
0.24159384660339345,-0.0834871723648392,0.5434062107529636,0.16225220182537348,0.6268933831178027
0.5267918960331514,0.2209542341596124,0.8243028285699612,0.16346695323063287,0.6033485944103487
0.6830310408352908,0.3825525303264579,0.9914743818756333,0.16193947402305492,0.6089218515491754
0.49776557064963256,0.17308994327575933,0.8630849816515304,0.1857983990413502,0.689995038375771
0.5903816948465973,0.27200406302299335,0.8913822545757261,0.1620978494534119,0.6193781915527328
0.5087995345631308,0.10520816753059466,0.8496294364378099,0.1892075267188922,0.7444212689072152
0.5643976289834146,0.20393358906281134,0.8711625975362759,0.17594332209546681,0.6672290084734646
0.6118103743307673,0.29310040366802376,0.9782208792149106,0.16423571988480473,0.6851204755468869
0.708737969560635,0.3788384848575471,1.0776670689749575,0.19472642831198939,0.6988285841174103
0.39543054431404545,0.17016021789792002,0.717962081958044,0.14113372154790849,0.547801864060124
0.6866184618274035,0.3670601419092326,1.0109967771395092,0.18696770728429393,0.6439366352302767
0.6925768524427717,0.36201582069967875,0.9982609080313732,0.16867637925088172,0.6362450873316945
0.5940392779173681,0.2617240885844946,0.9524032304416183,0.17998301540807232,0.6906791418571238
0.5477858397187946,0.18288084148324113,0.884763346816819,0.18627390564890206,0.7018825053335779
0.6543460105144944,0.32739443935736967,0.975994076814592,0.17424321869230447,0.6485996374572224
0.6034543156163691,0.22369995227636386,0.9546183516408565,0.19293271858719777,0.7309183993644927
0.7168511916616599,0.39776853219025465,1.085036875183521,0.18367076963050058,0.6872683429932664
0.519751932896661,0.16232398696149705,0.8632165012084166,0.18426140016918963,0.7008925142469196
0.5715598687877071,0.20820865726296822,0.8583192358928912,0.16362369805872054,0.6501105786299229
0.5742123204655053,0.28830916647451577,0.8689878426378701,0.14675159207101687,0.5806786761633543
0.5286395050404175,0.256954781622126,0.8927012742989089,0.17349736548909095,0.6357464926767828
