delta,planted,rep,band,theta_hat,truth,known_location_accept,planted_rank,rank_le_3,rank_le_5,search_promoted,final_accept,rank_of_max_true,regret,selected,n_promoted
0.6,sig_rs_intact+sig_conso,2,0.26084760007440855,0.5974849585027492,0.6000000000000002,False,1,True,True,True,False,1,0.0,sig_rs_intact+sig_conso,5
0.6,sig_rs_intact,1,0.3926497882993154,0.6553712141363275,0.5999999999999999,False,2,True,True,True,False,2,0.12587868814344633,rsi<35&rs,5
0.6,sig_lead_in_lag+sig_h1_dr,3,0.3167565320074262,0.6328090029210894,0.6,False,1,True,True,True,False,1,0.0,sig_lead_in_lag+sig_h1_dr,2
0.6,sig_rs_intact+sig_conso,1,0.3943421782631066,0.6768839490627,0.6,True,2,True,True,True,True,2,0.2603096403775926,rsi<35&rs,5
0.6,adx2&rs,1,0.38015541554715515,0.7224004739014321,0.6000000000000001,False,1,True,True,True,False,1,0.0,adx2&rs,2
0.6,sig_conso+sig_lead_in_lag+sig_h1_dr,2,0.19834483482646423,0.45311306450933464,0.5999999999999999,False,1,True,True,True,False,1,0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,5
0.6,rsi35-50&rs,2,0.2582702786401681,0.7694511553850408,0.6,True,1,True,True,True,True,1,0.0,rsi35-50&rs,5
0.6,¬sig_conso,4,0.5611197258533462,0.5870405839319184,0.6,False,1,True,True,True,False,1,0.0,¬sig_conso,1
0.6,adx-1,2,0.6242854194535296,0.7667965088345506,0.6,False,1,True,True,True,False,1,0.0,adx-1,1
0.6,sig_lead_in_lag+sig_h1_dr,0,0.425261996621779,0.7563438076796946,0.6000000000000001,False,1,True,True,True,False,1,0.0,sig_lead_in_lag+sig_h1_dr,3
0.6,sig_conso+sig_h1_dr,4,0.5803562231273328,0.6284681959112195,0.6,False,2,True,True,True,False,2,0.05291968467073627,sig_conso+sig_lead_in_lag+sig_h1_dr,2
0.6,¬sig_lead_in_lag,2,0.26623368396506436,0.6504822088284677,0.6,True,1,True,True,True,True,1,0.0,¬sig_lead_in_lag,1
0.6,sig_conso+sig_h1_dr,2,0.247485041007126,0.66320830386788,0.5999999999999999,False,1,True,True,True,False,1,0.0,sig_conso+sig_h1_dr,5
0.6,adx3,0,0.4798433917435833,0.5818698854415083,0.5999999999999996,False,1,True,True,True,False,1,0.0,adx3,2
0.6,¬sig_h1_dr,1,0.32633194329706083,0.577411132327528,0.5999999999999999,False,1,True,True,True,False,1,0.0,¬sig_h1_dr,1
0.6,adx2,1,0.3378133576278769,0.5851194241881847,0.5999999999999999,False,2,True,True,True,False,2,0.1137311356911323,adx2&rs,3
0.6,adx3&rs,0,0.43451125368574217,0.6884883651349485,0.5999999999999998,True,1,True,True,True,True,1,0.0,adx3&rs,2
0.6,adx1,3,0.2865655361053073,0.6041511317825229,0.6,False,1,True,True,True,False,1,0.0,adx1,2
0.6,¬sig_lead_in_lag,3,0.3704539173381747,0.6447780260165552,0.5999999999999999,False,1,True,True,True,False,1,0.0,¬sig_lead_in_lag,1
0.6,rsi35-50&conso,0,0.3541270140245385,0.6096778606052287,0.5999999999999998,False,1,True,True,True,False,1,0.0,rsi35-50&conso,2
0.6,¬sig_rs_intact,4,0.7545729811959992,0.5529412311647117,0.5999999999999999,False,2,True,True,False,False,2,0.4269489056363555,adx-1,0
0.6,sig_rs_intact+sig_conso,3,0.26180879674936175,0.47663595035413064,0.6,False,1,True,True,True,False,1,0.0,sig_rs_intact+sig_conso,5
0.6,rsi50-65&rs,4,0.5719999190855212,0.6326084955911209,0.6,False,1,True,True,True,False,1,0.0,rsi50-65&rs,1
0.6,adx2&rs,2,0.2143402007909837,0.6687373998745025,0.6,False,1,True,True,True,False,1,0.0,adx2&rs,2
0.6,sig_rs_intact,2,0.2731697217435848,0.65775894566927,0.6,True,1,True,True,True,True,1,0.0,sig_rs_intact,5
0.6,rsi50-65&conso,2,0.22317570896775993,0.5631251085028399,0.6,False,1,True,True,True,False,1,0.0,rsi50-65&conso,3
0.6,rsi50-65&conso,0,0.4056764011046064,0.5616701114996155,0.5999999999999998,False,1,True,True,True,False,1,0.0,rsi50-65&conso,2
0.6,rsi<35&conso,0,0.4053010678517524,0.7193199721980092,0.6000000000000001,False,1,True,True,True,False,1,0.0,rsi<35&conso,2
0.6,rsi50-65,4,0.6038362538815539,0.6268860936385415,0.6,True,1,True,True,True,True,1,0.0,rsi50-65,1
0.6,rsi35-50,1,0.28345568664506404,0.5214172919235871,0.5999999999999999,False,1,True,True,True,False,1,0.0,rsi35-50,2
0.6,sig_conso,4,0.6534264650301234,0.6162286366483898,0.5999999999999999,True,1,True,True,False,False,1,0.0,sig_conso,0
0.6,rsi>=65,4,0.6578575667454856,0.5934514012650284,0.6000000000000001,False,1,True,True,False,False,1,0.0,rsi>=65,0
0.6,rsi35-50&rs,0,0.38127946922439904,0.6604956945382581,0.5999999999999998,False,1,True,True,True,False,1,0.0,rsi35-50&rs,5
1.5,rsi50-65&conso,1,0.3155317446149217,1.4502243811981894,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi50-65&conso,5
1.5,rsi35-50&conso,2,0.3775839816779416,1.5666986206775484,1.5,True,1,True,True,True,True,1,0.0,rsi35-50&conso,5
1.5,rsi50-65&rs,4,0.5160692709583546,1.532608495591121,1.5,True,1,True,True,True,True,1,0.0,rsi50-65&rs,4
1.5,rsi<35,4,0.6296502543214629,1.4823743639753053,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi<35,2
1.5,rsi<35&conso,4,0.6872675217053485,1.5429108757583965,1.5,True,1,True,True,True,True,1,0.0,rsi<35&conso,1
1.5,adx3&rs,0,0.45774583746413616,1.5884883651349488,1.5,True,1,True,True,True,True,1,0.0,adx3&rs,5
1.5,rsi<35,3,0.33119270006722035,1.4383507827744353,1.5,True,1,True,True,True,True,1,0.0,rsi<35,4
1.5,sig_lead_in_lag+sig_h1_dr,0,0.5197631559380089,1.6563438076796941,1.4999999999999996,True,1,True,True,True,True,1,0.0,sig_lead_in_lag+sig_h1_dr,5
1.5,adx1,1,0.3945873966899108,1.6290475667041633,1.5,True,1,True,True,True,True,1,0.0,adx1,3
1.5,rsi<35&rs,2,0.33911014933154904,1.4038550083700838,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi<35&rs,2
1.5,adx2,3,0.39551363158755076,1.5743252959731713,1.5,True,1,True,True,True,True,1,0.0,adx2,3
1.5,¬sig_conso,3,0.3481242546452945,1.4793678615657215,1.5,True,1,True,True,True,True,1,0.0,¬sig_conso,3
1.5,rsi<35&rs,4,0.5654038974858692,1.6589725128899597,1.5,True,1,True,True,True,True,1,0.0,rsi<35&rs,1
1.5,sig_h1_dr,4,0.49267066938923443,1.5440779775382836,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_h1_dr,5
1.5,sig_lead_in_lag,3,0.4146408252778683,1.466878684189169,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_lead_in_lag,5
