seed,delta,needle,pseudo,band_p95,best_est,best_cell,n_promoted,unrelated_false_promotions,overlap_affected_promotions,true_cell_rank,rank_found,search_promoted,final_accepted,needle_verdict,needle_n,freeze_commit
1391055275,0.0,,sig_rs_intact+sig_conso,3.2658595265820622,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1237803421,0.0,,sig_rs_intact+sig_conso+sig_lead_in_lag,3.284245654940605,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
143403589,0.0,,¬sig_conso,3.2763361325487494,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1536952587,0.0,,adx2,3.275393610820174,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1163327219,0.0,,sig_rs_intact+sig_macro_vix_up,3.23668600525707,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1765730099,0.0,,rsi<35&rs,3.2326619420200586,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1669341215,0.0,,rsi<35&conso,3.242959282360971,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
790181557,0.0,,sig_h1_dr+sig_macro_vix_up,3.2806429686024785,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
626491291,0.0,,adx1&rs,3.235739259980619,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
343584789,0.0,,sig_rs_intact+sig_lead_in_lag,3.1773637467995286,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
542379812,0.0,,sig_rs_intact+sig_conso+sig_lead_in_lag,3.3132590167224407,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
730271137,0.0,,rsi50-65&rs,3.2737610256299376,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
550265944,0.0,,rsi<35,3.260446502827108,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
2062641223,0.0,,sig_rs_intact+sig_conso+sig_h1_dr,3.2449311204254627,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1088078084,0.0,,sig_rs_intact+sig_h1_dr,3.3465658547356725,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
2124444949,0.0,,sig_conso+sig_h1_dr,3.296474190428853,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1303407799,0.0,,adx3&rs,3.2825378654524684,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
514708398,0.0,,sig_macro_vix_up,3.249335023574531,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
2043688870,0.0,,sig_rs_intact+sig_macro_vix_up,3.2886883663013577,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
594546578,0.0,,adx-1,3.252852759324014,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1137933215,0.0,,¬sig_lead_in_lag,3.2558035803958774,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
250752430,0.0,,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.2833515712991357,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
604674421,0.0,,sig_lead_in_lag+sig_h1_dr,3.2587430207058787,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
118556449,0.0,,rsi35-50,3.2425815565511584,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1624994297,0.0,,sig_rs_intact+sig_h1_dr,3.289139876142144,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
822537211,0.0,,sig_rs_intact+sig_lead_in_lag,3.255397700704634,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
26070387,0.0,,sig_rs_intact+sig_conso+sig_lead_in_lag,3.2289925031363964,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
358005144,0.0,,adx2,3.2516548689454794,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1756252394,0.0,,adx1,3.292447179555893,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1127541712,0.0,,sig_rs_intact+sig_h1_dr,3.2645783107727766,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1241056469,0.0,,sig_rs_intact+sig_h1_dr,3.293978441506624,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
366124970,0.0,,sig_rs_intact&rs,3.204500894062221,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1967568734,0.0,,sig_lead_in_lag+sig_macro_vix_up,3.2285708421841264,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
166266809,0.0,,adx3,3.207179852761328,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1521991453,0.0,,sig_conso+sig_lead_in_lag+sig_h1_dr,3.2091142050921917,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1609864729,0.0,,¬sig_h1_dr,3.301421948708594,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1825026891,0.0,,sig_conso,3.2902828697115183,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1062657375,0.0,,rsi35-50,3.234716267324984,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1056416383,0.0,,adx3&rs,3.327147769741714,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
577004116,0.0,,rsi<35&rs,3.2180590741336346,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
537191705,0.0,,sig_conso&rs,3.2069845870137215,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
722804976,0.0,,adx2&rs,3.2484524277970195,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1248996683,0.0,,rsi<35&rs,3.271063114516437,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1204884211,0.0,,sig_h1_dr&rs,3.2740003569051623,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1852736515,0.0,,sig_conso+sig_lead_in_lag+sig_h1_dr,3.2939511677250266,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
821998552,0.0,,adx1,3.2594616897404194,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
848948,0.0,,rsi50-65,3.2993377977982163,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
2052863978,0.0,,sig_conso+sig_lead_in_lag+sig_h1_dr,3.277751049026847,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1899716059,0.0,,sig_lead_in_lag&rs,3.247950589284301,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1166462018,0.0,,sig_macro_vix_up,3.2512728916481137,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
