universe,signal,seq3,n,m10,win,status,regime,n_4H,m10_4H,win_4H,st_4H,n_1H,m10_1H,win_1H,st_1H,dec,avg,nmin
nasdaq,T5,T11|Z1G|Z2,21,3.529,66.7,GOOD,—,20.0,2.247,60.0,GOOD,39.0,1.092,61.5,GOOD,9,2.2893333333333334,20.0
sp500,Z2G,T5|Z1|Z10,22,4.229,63.6,GOOD,—,37.0,1.383,62.2,GOOD,24.0,0.739,66.7,GOOD,9,2.117,22.0
russell2k,Z3,Z5|Z6|T5,62,0.97,53.2,GOOD,—,25.0,2.605,84.0,GOOD,34.0,0.924,67.6,GOOD,8,1.499666666666667,25.0
russell2k,T5,Z11|T9|Z1G,25,1.29,56.0,GOOD,—,33.0,1.931,54.5,GOOD,29.0,0.83,65.5,GOOD,9,1.3503333333333334,25.0
sp500,Z5,Z6|T9|T2G,49,1.497,55.1,GOOD,2025-ARTIFACT,20.0,1.71,65.0,GOOD,50.0,0.801,72.0,GOOD,9,1.336,20.0
russell2k,T5,Z1|T5|Z9,21,1.201,57.1,GOOD,—,55.0,1.329,60.0,GOOD,26.0,0.774,57.7,GOOD,9,1.1013333333333335,21.0
sp500,Z1,Z1|T1G|T2,21,1.238,57.1,GOOD,—,45.0,1.276,57.8,GOOD,84.0,0.761,67.9,GOOD,9,1.0916666666666668,21.0
sp500,T2G,Z2G|T1G|T10,67,0.916,58.2,GOOD,STABLE,30.0,0.928,60.0,GOOD,37.0,0.805,70.3,GOOD,8,0.883,30.0
