state,cell,n,med,pos,ny,worst,asym,dasym
S1 RSI<35,T5,10271,0.7947424728717678,6,6,0.1661030025879917,33.45771144278607,3.011115113836798
S1 RSI<35,T12,1990,1.1188504682962952,5,6,0.0,36.26229508196721,5.815698753017937
S1 RSI<35,T11,958,0.6954981099737689,5,6,-2.20950582588324,36.18157543391188,5.734979104962608
S1 RSI<35,Z6,6602,1.2534871152728333,5,6,-0.7045532873304228,35.76484467164766,5.318248342698386
S1 RSI<35,Z1G,9646,0.7045763135344774,6,6,0.08615288220550354,31.355711683580534,0.9091153546312611
S1 RSI<35,Z5,3007,0.7670182166826578,4,6,-0.28910815935127565,33.44695355773328,3.000357228784008
S1 RSI<35,T2,3650,-0.23142237647369446,2,6,-1.1831672530654425,30.10079944386514,-0.345796885084134
S1 RSI<35,T2G,4553,0.27589666415850367,5,6,-0.30674846625767804,29.689765149318642,-0.7568311796306304
S1 RSI<35,Z2,28408,0.4763734855971591,5,6,-0.278551532033422,33.07259073842303,2.6259944094737584
S1 RSI<35,T4,3894,0.0,3,6,-0.854214724934127,30.17464424320828,-0.27195208574099183
S1 RSI<35,T5|L46,5462,0.8087862598844864,6,6,0.15449438202248533,32.58296588535623,2.136369556406958
S1 RSI<35,Z1G|L46,6652,0.7267915768439326,6,6,0.15072814246667177,30.811115283514834,0.36451895456556116
S1 RSI<35,T5|L5,1710,1.190488724981531,5,6,-0.6267573909535418,37.548188126445645,7.101591797496372
S1 RSI<35,Z1G|L5,2206,0.9118098813005182,6,6,0.07153075822603494,34.58864426419467,4.142047935245397
S1 RSI<35,T5|L25,2757,0.4923413566739532,5,6,-0.1835042735521375,32.296431838975295,1.849835510026022
S1 RSI<35,Z1G|L25,788,-0.20145905326241498,2,6,-0.8368674501277762,28.57142857142857,-1.8751677575207033
S2 RSI 35-45,T5,18626,0.6004621539800747,6,6,0.0777181771919433,33.445850914205344,2.9992545852560717
S2 RSI 35-45,T12,4649,0.7542995071909919,4,6,-0.9127632534495334,34.920182440136834,4.473586111187561
S2 RSI 35-45,T11,2825,0.6535093451836449,5,6,-0.5503810330228731,35.425383542538356,4.978787213589083
S2 RSI 35-45,Z6,11530,0.4429010116573373,4,6,-0.18305614092928302,31.077063800594555,0.6304674716452823
S2 RSI 35-45,Z1G,18161,0.3910234614076691,5,6,-0.2759381898454816,32.36797274275979,1.921376413810517
S2 RSI 35-45,Z5,11241,0.6256601933858796,5,6,-0.12883433547033474,32.795443758898905,2.3488474299496325
S2 RSI 35-45,T2,15535,-0.33670033670032407,2,6,-1.1825413889486103,29.1421568627451,-1.3044394662041725
S2 RSI 35-45,T2G,23273,0.18510900863839552,3,6,-0.399502259479978,29.461044401005303,-0.9855519279439697
S2 RSI 35-45,Z2,40434,0.091701073840178,4,6,-0.43790293151684256,31.796349663784824,1.349753334835551
S2 RSI 35-45,T4,13895,0.10319917440659854,4,6,-0.8385488531625851,30.796900940785832,0.3503046118365596
S2 RSI 35-45,T5|L46,9385,0.5482456140351033,5,6,-0.19285367400213582,34.01685393258427,3.570257603634996
S2 RSI 35-45,Z1G|L46,11970,0.2580396367303561,3,6,-0.44481515809364214,31.70837867247008,1.2617823435208066
S2 RSI 35-45,T5|L5,3138,0.8738502052647368,5,6,-0.3599520063991557,34.875,4.428403671050727
S2 RSI 35-45,Z1G|L5,4584,0.7031536354023538,5,6,-0.07849447595125181,34.11697247706422,3.6703761481149506
S2 RSI 35-45,T5|L25,5345,0.5519916455318574,6,6,0.1160993254917364,32.503660322108345,2.0570639931590726
S2 RSI 35-45,Z1G|L25,1607,0.5414898287721348,5,6,-0.5499881337288182,33.41307814992025,2.96648182097098
S3 ≤5% off 20d-low,T5,31479,0.4968675739900785,4,6,-0.11839708561020013,32.212445003142676,1.7658486741934034
S3 ≤5% off 20d-low,T12,7327,0.5640089267600068,4,6,-0.6905272714664568,32.83672236762634,2.3901260386770637
S3 ≤5% off 20d-low,T11,4488,0.39740171862195917,4,6,-1.020527859237541,32.0855614973262,1.6389651683769308
S3 ≤5% off 20d-low,Z6,21252,0.5200569825060342,5,6,-0.7367766247322882,31.316489361702125,0.8698930327528522
S3 ≤5% off 20d-low,Z1G,31026,0.3594321088951635,4,6,-0.219250293044293,30.7644499689248,0.31785363997552807
S3 ≤5% off 20d-low,Z5,17139,0.2936857562408246,5,6,-0.23694850091266484,30.868285504047094,0.42168917509782133
S3 ≤5% off 20d-low,T2,23709,-0.04137827264518723,3,6,-0.791774983368404,27.427597955706982,-3.0189983732422903
S3 ≤5% off 20d-low,T2G,35102,0.15873055865597285,4,6,-0.22032497934454387,26.57316148597422,-3.873434842975051
S3 ≤5% off 20d-low,Z2,76573,0.17502917152858455,4,6,-0.3851751789329838,30.520585233072474,0.07398890412320114
S3 ≤5% off 20d-low,T4,20792,0.0,4,6,-1.1547041070725572,26.120499632623073,-4.3260966963262
S3 ≤5% off 20d-low,T5|L46,15735,0.512820512820511,4,6,-0.20018198362147244,32.5242718446602,2.0776755157109257
S3 ≤5% off 20d-low,Z1G|L46,20557,0.32280492649978676,4,6,-0.2707105665353371,30.311052283256124,-0.13554404569314826
S3 ≤5% off 20d-low,T5|L5,5466,0.8138996595432824,5,6,-0.049198192294674925,33.93735438778152,3.4907580588322453
S3 ≤5% off 20d-low,Z1G|L5,7692,0.5293789433473917,5,6,-0.13600021697570686,32.67019529111151,2.2235989621622387
S3 ≤5% off 20d-low,T5|L25,9108,0.3141956370449339,4,6,-0.36610832774674473,32.11520594611335,1.6686096171640763
S3 ≤5% off 20d-low,Z1G|L25,2777,0.22596033140849237,4,6,-0.28843632549602205,30.252525252525253,-0.1940710764240201
S4 below EMA200,T5,33814,0.6845944500549317,6,6,0.3226112534395975,32.961062481134924,2.5144661521856513
S4 below EMA200,T12,8822,0.9724744064587676,6,6,0.06191950464398133,35.29758397171479,4.850987642765521
S4 below EMA200,T11,6236,0.7928790699193278,5,6,-0.4497269514937341,34.73102884025363,4.284432511304356
S4 below EMA200,Z6,21332,0.5412729802973693,6,6,0.14179230441541124,31.888822474596534,1.4422261456472611
S4 below EMA200,Z1G,32488,0.47725887104271836,5,6,-0.11516149867955572,32.71432992881461,2.267733599865334
S4 below EMA200,Z5,28965,0.591715976331364,5,6,0.0,33.47785692164757,3.031260592698299
S4 below EMA200,T2,50750,0.026052660513842252,4,6,-0.5774783445620879,31.017296980357667,0.5707006514083943
S4 below EMA200,T2G,83084,0.18307570157916064,5,6,-0.402355453464065,31.13496932515337,0.6883729962040981
S4 below EMA200,Z2,74196,0.21386978758447528,4,6,-0.05414185165131258,29.21723300970874,-1.2293633192405338
S4 below EMA200,T4,34936,0.1512322990538384,4,6,-0.7376554657072432,30.703503275420108,0.2569069464708349
S4 below EMA200,T5|L46,16553,0.6629834254143541,6,6,0.1941747572815622,33.689676237018936,3.2430799080696637
S4 below EMA200,Z1G|L46,20445,0.3899721448467952,5,6,-0.2620402999909732,30.8679706601467,0.42137433119742695
S4 below EMA200,T5|L5,5776,1.165276158220152,6,6,0.7987668161435035,36.16974005776494,5.723143728815668
S4 below EMA200,Z1G|L5,8731,0.6883396914911355,6,6,0.13607505147140708,33.633720930232556,3.1871246012832835
S4 below EMA200,T5|L25,10009,0.4558204768583485,6,6,0.06531678641410466,32.898041185334,2.451444856384729
S4 below EMA200,Z1G|L25,3312,0.40645438998291317,5,6,-0.07890583903209514,32.18216318785579,1.7355668589065196
S5 above EMA200,T5,27698,0.41849087319688616,4,6,-0.6581324664593047,30.24788202070913,-0.1987143082401417
S5 above EMA200,T12,8060,0.26441351590823503,3,6,-0.7639862675886122,28.95306859205776,-1.4935277368915116
S5 above EMA200,T11,6337,0.235457063711908,4,6,-1.08895691304301,28.35266821345708,-2.0939281154921936
S5 above EMA200,Z6,19177,0.1738447734410009,3,6,-0.5263157894736858,27.507507507507505,-2.939088821441768
S5 above EMA200,Z1G,24273,0.14250814332248396,4,6,-1.5219337511190645,28.30526692941598,-2.1413293995332943
S5 above EMA200,Z5,37237,0.11574074074074403,4,6,-0.6441504716966195,28.591851322373124,-1.8547450065761488
S5 above EMA200,T2,70565,0.012001920307258551,5,6,-1.3120661384847077,26.51065316101991,-3.935943167929363
S5 above EMA200,T2G,125172,0.06660877728360548,5,6,-0.9312890403179952,29.145907473309606,-1.3006888556396667
S5 above EMA200,Z2,55195,0.0,3,6,-0.8971745590848568,29.051987767584098,-1.3946085613651746
S5 above EMA200,T4,36664,0.10647590566880138,5,6,-1.2286659860106075,26.409707351891505,-4.036888977057767
S5 above EMA200,T5|L46,12590,0.4372901085413661,5,6,-0.6017356674195506,29.03225806451613,-1.414338264433141
S5 above EMA200,Z1G|L46,14643,0.17139796464917811,4,6,-1.6578483245149989,28.84448305821025,-1.6021132707390215
S5 above EMA200,T5|L5,4821,0.6757898293630715,5,6,-0.4295553233562621,30.837264150943394,0.3906678219941213
S5 above EMA200,Z1G|L5,6692,0.20157209956216393,5,6,-1.9635065450218203,28.79336028942328,-1.6532360395259929
S5 above EMA200,T5|L25,9328,0.26318106640896843,4,6,-0.6594414094439394,28.753799392097264,-1.6927969368520088
S5 above EMA200,Z1G|L25,2937,-0.0849377123442796,2,6,-0.496356531840747,27.79144121987211,-2.655155109077164
S6 3+ red closes,T5,24247,0.5552751135790013,4,6,-0.4714812405118174,32.58426966292135,2.137673333972078
S6 3+ red closes,T12,2585,1.0963597430406757,4,6,-2.1179667519181544,35.69553805774278,5.248941728793508
S6 3+ red closes,T11,1259,0.7407407407407307,4,6,-1.4626069358844584,33.78661087866109,3.340014549711814
S6 3+ red closes,Z6,12596,0.511723303525824,5,6,-0.5222524977293252,31.076443057722308,0.6298467287730354
S6 3+ red closes,Z1G,7611,0.44182621502208974,4,6,-0.44642857142856984,32.22954230235784,1.7829459734085695
S6 3+ red closes,Z2,55991,0.17830609212481363,3,6,-0.43838900673278114,30.48891588217431,0.04231955322503822
S6 3+ red closes,T5|L46,12581,0.5485640529202973,4,6,-0.6523157208088715,32.49449512425291,2.0478987953036345
S6 3+ red closes,Z1G|L46,4828,0.512868934137356,4,6,-0.5191339095732828,33.098017920173774,2.6514215912245014
S6 3+ red closes,T5|L5,4200,1.0394856292142984,5,6,-0.8615459288921157,34.18170103092783,3.7351047019785604
S6 3+ red closes,Z1G|L5,1833,0.6523076923076854,5,6,-0.07339907394369183,31.95950831525669,1.5129119863074187
S6 3+ red closes,T5|L25,7460,0.30407404548729033,4,6,-0.3772482501421148,30.34799505387741,-0.09860127507186434
S6 3+ red closes,Z1G|L25,949,-0.04843787842091496,1,6,-0.5324459234609003,28.205128205128204,-2.2414681238210683
