ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
BAC,🏦majority,0.781,5.717,-0.091,0.974,0.226,-0.406,0.379,-0.066,-0.555,-2.157
BALL,🏦majority,0.391,5.924,1.43,-1.37,-0.407,-0.062,0.394,,1.426,
BAX,🏦majority,-0.338,6.346,0.646,-0.654,0.583,-0.521,0.338,-0.236,-2.756,
BBY,🏦majority,-0.215,6.92,1.142,-0.374,0.774,0.577,2.112,-1.268,1.747,
BDX,🏦majority,0.185,4.23,0.566,0.175,-0.446,-1.023,1.026,-1.421,-1.253,
BEN,🏦majority,-0.291,6.104,-0.005,-0.161,0.203,-0.691,1.705,-0.11,0.692,
BG,🏦majority,0.608,5.796,-0.338,0.716,-1.164,0.178,-0.178,0.507,2.204,
BIDU,🎰lottery,-0.729,9.739,3.12,0.369,-0.658,0.386,2.086,,-1.136,-13.498
BIIB,🏦majority,-0.583,6.856,0.514,-0.339,0.141,-0.87,0.119,,-1.227,
BILI,🎰lottery,-1.496,14.506,2.582,-0.45,2.261,-0.389,0.863,,-1.696,-16.093
BILL,⚡panic,-0.25,13.333,3.486,-0.299,-2.451,-1.242,1.565,,-1.871,-1.234
BIO,🏦majority,0.153,6.927,0.43,0.068,-0.535,-0.864,0.822,-3.201,-0.279,-2.12
BKNG,🏦majority,0.832,6.397,-0.018,0.281,0.398,-0.376,0.818,-0.504,1.729,
BKR,⚡panic,0.813,6.865,0.886,0.135,-0.234,-0.871,2.804,-0.133,-1.829,
BLDR,🏦majority,1.201,8.812,0.092,-2.126,-0.802,-0.731,-1.03,2.385,1.089,
BLK,🏦majority,0.257,5.407,0.218,-0.114,0.773,-0.753,1.024,-1.471,-0.22,-2.063
BMY,🏦majority,0.02,4.623,-0.378,0.012,-0.347,-0.746,0.3,0.255,-0.684,
BR,🏦majority,0.249,4.54,0.413,-0.009,-0.619,-0.207,-0.287,0.517,0.274,-5.196
BRO,🏦majority,0.862,4.916,0.96,-0.742,-0.927,-0.675,1.048,-1.134,0.552,-0.882
