rule,n,mean_all,med_all,win_all,hold,exit_rate,mean_mined,mean_oos,win_mined,win_oos,pf_mined,pf_oos
trail 5% · 60b,20527,0.4125034763923497,-1.7243902439024403,36.90261606664394,9.171578896088079,98.59696984459492,0.38815056386554125,0.43539489194774483,35.371003418459686,38.342311690766465,1.1839539919394868,1.224008590500355
trail 8% · 60b,20527,0.45286146209708045,-2.689839572192509,36.542115262824574,17.918010425293517,93.27714717201734,0.09290126406794538,0.7912192855162069,33.57128493866881,39.3346564596919,1.027829231472626,1.2681058486593866
hold 10b,20527,0.4862850212945213,-0.060394265232982386,49.5493739952258,10.0,0.0,0.050999782832653474,0.8954473860749521,47.556806756485024,51.42236083545979,1.014214870586395,1.3063351938059193
trail 12% · 60b,20527,0.8141330903058189,-3.149432083398162,39.80123739465095,29.560919764212986,78.20918789886491,0.03416909408434389,1.547288926844784,36.587572893625584,42.82203950477271,1.007203871227064,1.38201840010252
stop 12% · 20b,20527,0.6284667362816979,-0.8345965770171159,46.42178594046865,17.482291615920495,25.2789009597116,0.03383304461930245,1.1874145386892385,43.43454655137744,49.22975144126264,1.0073050334624762,1.308063483044443
trail 30% · 60b,20527,1.807642857295176,-0.4192514808831481,49.067082379305305,53.60676182588786,23.154869196667804,0.01579268783674513,3.491958308144203,45.415242308465714,52.49976372743597,1.002069055879448,1.5608814605266437
stop 20% · 20b,20527,0.7113726628950503,-0.253252452245739,48.80401422516685,19.149851415209238,10.030691284649485,-0.013626291633402995,1.39286208749953,45.907902674441985,51.526320763632924,0.9972767881226718,1.350743337818994
stop 3% · 20b,20527,0.21477863159111446,-3.2000000000000024,23.6371608125883,9.089735470356116,73.82471866322405,-0.01633854770045949,0.4320257221528754,21.294992961994772,25.838767602306017,0.9933831082118907,1.187006911150436
hold 5b,20527,0.16924636841656465,-0.09609164420487079,49.047595849369124,5.0,0.0,-0.020897936679851147,0.34797949935777545,47.918761311079834,50.10868537945373,0.9916144658488053,1.167267863809958
hold 3b,20527,0.0647446239943844,-0.12286295793759158,48.48248648121986,3.0,0.0,-0.02902397169381139,0.15288586326428283,47.566861049668205,49.343162271996974,0.9844497056713982,1.0960998174417935
hold 20b,20527,0.7884203893722982,-0.09635193133047934,49.520144200321525,20.0,0.0,-0.030341739435993557,1.5580459571945522,46.72230042228031,52.15008033267176,0.9941795503188797,1.3945395418411504
