ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AJG,🏦majority,2.376,8.845,0.046,-3.693,4.022,-3.257,,,,
AKAM,🏦majority,0.692,12.103,8.48,-2.459,-0.721,0.985,,,,
AKR,🏦majority,0.306,9.935,5.871,-0.384,0.619,-0.86,,,,
ALB,🏦majority,-0.804,20.471,7.161,-5.737,-9.199,-4.205,-5.905,,,
ALC,🏦majority,0.714,9.008,10.985,0.065,-1.52,-4.225,,,,
ALG,🏦majority,0.094,11.057,8.153,2.109,-6.098,-4.279,,,,
ALGM,⚡panic,0.502,20.888,6.979,0.965,-6.342,-7.158,,,,-16.839
ALGN,🏦majority,-3.864,18.682,6.558,-1.099,6.143,5.252,0.107,,,
ALGT,🏦majority,-2.307,22.829,0.796,-4.227,11.891,7.835,-3.865,,,-16.22
ALHC,⚡panic,4.607,23.938,-7.752,0.932,-9.51,3.32,11.943,,,
ALIT,🏦majority,-2.875,15.561,11.887,-1.006,-0.871,-1.018,-4.748,,,
ALK,🏦majority,1.705,17.023,5.778,4.091,-5.096,-5.752,-1.288,,,-11.398
ALKS,🏦majority,2.887,14.115,10.906,3.624,-0.49,-3.573,,,,
ALKT,🏦majority,0.288,17.255,4.409,-4.824,-14.514,1.959,,,,
ALL,🏦majority,2.117,8.333,9.427,1.924,-0.054,0.12,,-2.462,,
ALLE,🏦majority,-1.111,9.896,5.732,1.359,3.765,2.476,,,,
ALLY,🏦majority,1.122,12.583,-6.432,0.865,-2.443,-6.302,,,,
ALNY,🏦majority,-0.483,19.427,3.761,1.568,-2.436,5.128,,,,
ALRM,🏦majority,-2.133,10.38,7.274,0.457,-2.937,-5.368,,,,
ALSN,🏦majority,1.723,12.021,16.728,1.368,-0.307,3.111,,,,0.476
ALT,⚡panic,-8.402,30.778,18.269,5.475,4.399,-4.529,,,,
ALV,🏦majority,1.752,11.129,8.225,0.936,-0.696,0.088,5.98,,,
AM,🏦majority,2.325,8.131,,6.404,2.012,-3.243,,,,
AMAL,⚡panic,5.043,16.249,35.218,-3.474,-9.829,0.402,,,,
AMAT,🏦majority,5.23,16.403,17.647,-5.218,-2.525,-0.933,,,,
AMBA,🏦majority,0.574,24.341,23.277,-5.549,4.06,3.789,,-0.56,,
AMCR,🏦majority,-1.633,8.091,3.982,1.46,-1.403,-1.744,1.865,,,
AMCX,⚡panic,-8.711,22.362,15.147,-0.162,-0.056,-7.509,9.466,,,
AMD,🏦majority,2.622,23.104,12.276,-0.798,9.186,-5.259,,,,
AME,🏦majority,2.019,7.84,10.636,2.786,-1.264,-0.425,,,,
AMG,🏦majority,3.308,11.755,14.972,-0.667,1.253,-3.357,,,,
AMGN,🏦majority,1.438,9.489,9.44,5.029,0.548,-2.726,,,,
AMH,🏦majority,-0.311,6.716,1.9,0.608,0.396,-1.49,,,,
AMKR,🏦majority,1.715,20.721,-0.999,1.379,1.865,9.547,,,,
AMLX,⚡panic,0.634,30.725,-10.731,-15.6,-30.634,3.14,,,,
AMN,⚡panic,-4.218,18.521,7.501,-0.983,3.587,-4.838,7.8,,,
AMP,🏦majority,2.488,9.761,18.131,2.581,0.983,1.013,,,,
AMPH,🏦majority,-0.485,19.042,-3.289,2.035,-2.733,6.675,3.236,-5.935,,
AMPL,🏦majority,-5.394,20.944,-3.369,4.244,4.328,0.516,,,,
AMR,🏦majority,3.339,25.16,-5.496,-5.573,-2.665,8.765,-11.617,,,
AMRC,⚡panic,-4.711,28.159,19.203,3.179,-2.503,-0.277,20.299,,,
AMRX,🏦majority,6.77,12.22,,-1.716,2.879,-3.329,,,,
AMSC,🏦majority,7.641,33.391,,5.667,16.768,6.761,,,,-20.693
AMSF,🏦majority,-3.34,8.358,-0.527,1.086,-1.753,0.375,-1.099,,,
AMT,🏦majority,-1.617,9.866,14.201,0.014,0.229,-2.246,5.914,,,
AMWD,🏦majority,-2.9,15.632,0.571,0.0,0.585,-2.225,2.138,,,
AMZN,🏦majority,2.591,12.855,-0.649,1.164,1.665,-0.894,,2.402,,
AN,🏦majority,2.667,10.572,12.596,6.294,-2.305,-7.734,,,,
ANAB,🏦majority,3.705,23.01,20.858,-2.442,12.599,4.158,,,,
ANDE,🏦majority,3.294,13.517,3.416,-4.086,5.447,0.552,,,,-18.833
ANET,🏦majority,8.168,16.961,17.04,7.263,-1.594,-5.235,,,,-16.16
ANF,🏦majority,2.756,25.761,-0.454,6.499,-8.296,5.772,,,,
ANGI,⚡panic,-12.671,21.72,12.852,-1.465,-14.014,,14.35,,,
ANGO,🏦majority,-1.26,20.048,-4.13,8.073,-4.597,-2.57,,,,
ANIP,🏦majority,1.804,16.347,20.9,2.247,1.706,2.35,,,,
AON,🏦majority,0.578,8.513,7.772,2.568,-2.043,-3.183,,,,
AORT,🏦majority,6.261,21.265,7.664,5.001,0.347,-2.7,2.426,,,
AOS,🏦majority,-0.395,10.388,4.137,-0.942,-1.579,-0.42,,,,
AOSL,⚡panic,1.186,24.566,18.424,2.863,-1.954,-1.413,13.64,,,
APA,🏦majority,1.177,18.146,10.878,-5.192,0.794,4.602,,,,
APAM,🏦majority,-1.272,10.926,16.073,2.741,3.077,-2.695,8.744,,,
APD,🏦majority,0.325,9.737,1.738,1.606,-2.104,-1.757,,,,
APG,🏦majority,2.826,12.77,2.507,-2.4,-0.959,2.389,,,,
APGE,🏦majority,4.026,28.175,-1.811,5.366,4.143,0.0,,,,
APH,🏦majority,5.363,10.871,20.996,4.199,-3.678,-1.181,,,,
APLE,🏦majority,0.573,8.975,2.093,1.942,-3.831,-0.403,-0.78,,,
APO,🏦majority,2.337,14.243,17.798,1.756,2.539,-0.72,,,,
APOG,🏦majority,2.16,12.804,-7.698,1.934,1.991,2.991,,,,
APP,🏦majority,7.409,31.114,-17.467,-3.696,-3.422,13.419,-24.955,,,
APPF,🏦majority,-0.238,13.159,-1.087,0.238,0.633,-4.545,,,,
APPN,⚡panic,-6.753,16.471,25.381,3.534,-1.983,4.669,,,,
APPS,⚡panic,-10.489,27.211,26.224,-11.133,6.643,-11.282,21.198,,,
APTV,⚡panic,-2.773,13.634,13.442,0.545,-7.688,-0.31,12.717,,,
AQN,🏦majority,-1.881,11.265,9.681,0.14,-2.227,-3.154,7.63,,,
AR,🏦majority,1.549,18.838,3.032,0.16,-3.88,-1.395,,,,
ARCB,🏦majority,1.474,18.586,0.741,0.035,-1.416,5.307,,,,
ARCC,🏦majority,1.095,6.021,5.344,1.565,0.591,-2.628,,,,
ARCO,🏦majority,-0.573,12.636,2.573,0.784,5.534,-0.451,0.915,,,
ARCT,⚡panic,-4.658,28.211,36.321,-0.144,-5.864,-6.447,14.764,,,
ARE,🎰lottery,-1.924,13.49,9.116,-1.889,-5.797,-4.357,-0.127,,,-27.861
ARES,🏦majority,4.64,13.725,12.807,5.981,-14.183,-4.572,,1.081,,
ARHS,⚡panic,0.193,25.226,4.983,5.896,0.961,-8.918,1.643,,,
ARI,🏦majority,-1.271,11.73,15.496,3.876,-2.614,-2.196,,,,
ARIS,⚡panic,0.814,22.564,24.255,-2.346,-2.715,-1.817,,,,
ARLO,⚡panic,0.653,20.718,14.233,1.703,-4.393,-0.115,,,,
ARLP,🏦majority,1.782,13.568,,1.481,-4.634,2.067,,-7.267,,
ARMK,🏦majority,1.874,11.865,6.317,2.243,0.459,2.138,,,,
AROC,🏦majority,4.909,11.958,25.543,-0.997,-2.123,1.114,,,,
ARQT,🏦majority,-0.077,23.441,-0.726,-5.889,5.776,-0.063,-3.057,,,
ARR,🏦majority,-2.302,11.285,7.305,-0.059,-0.034,-0.39,6.659,,,
ARRY,⚡panic,-0.766,25.949,21.482,1.821,0.377,-7.713,23.461,,,
ARVN,🏦majority,-6.496,23.049,11.802,-4.059,23.552,-8.632,5.646,,,
ARW,🏦majority,0.605,12.385,14.913,0.11,1.088,1.08,,,,
ARWR,⚡panic,-2.66,24.984,37.76,-1.891,-11.881,16.74,6.665,,,-15.027
ASAN,⚡panic,-6.101,25.607,-2.283,1.597,-8.491,-3.607,-3.593,,,
ASB,🏦majority,2.577,10.894,9.315,2.831,1.715,-4.71,,,,
ASC,🏦majority,3.658,18.425,-3.354,0.055,1.42,-3.158,,,,-15.333
ASH,🏦majority,-0.719,10.647,-0.034,0.495,2.862,-0.839,-2.988,,,-5.875
ASIX,⚡panic,-2.363,16.588,11.635,-0.393,-3.833,1.478,9.395,,,
ASND,🏦majority,2.714,14.591,22.888,-2.342,-4.474,-0.77,,,,
ASO,🏦majority,0.818,15.093,14.289,4.344,-6.07,-0.423,,,,
ASPN,🏦majority,-5.569,30.346,10.567,-6.61,28.548,-6.115,0.826,,,
