ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
ALT,🏦majority,-1.781,19.394,3.37,-2.778,-2.181,1.561,1.001,-2.303,-3.035,-27.818
AMAT,🏦majority,1.415,8.558,1.107,0.174,1.031,-0.347,-1.087,0.417,-0.524,-5.577
AMBA,🏦majority,0.408,12.557,0.139,-2.459,1.008,-0.538,-0.781,1.849,3.021,-7.164
AMCX,🏦majority,-1.567,13.307,0.09,0.42,0.02,-0.411,0.744,-0.574,1.755,-11.702
AMD,🏦majority,0.712,11.439,-0.015,-1.244,0.725,2.142,-0.819,0.75,-2.534,-7.138
AMGN,🏦majority,0.283,4.662,-0.641,-0.359,0.782,0.56,-0.165,-0.71,-0.292,-4.907
AMKR,🏦majority,0.607,11.213,1.192,0.16,-1.608,-1.359,1.673,-1.05,0.463,-9.88
AMLX,🏦majority,0.139,16.835,2.622,-0.104,0.001,0.012,-0.642,-1.886,-2.735,-9.102
AMP,🏦majority,0.757,5.39,0.693,-0.282,-0.211,-0.485,-0.145,-0.063,-0.48,-5.986
AMPH,🏦majority,0.619,9.632,-1.3,-0.228,0.788,1.834,-0.875,1.292,1.57,-2.44
AMPL,🎰lottery,-1.377,13.542,-1.963,0.944,1.593,-0.785,-1.564,7.616,-2.072,-15.838
AMRX,🏦majority,2.18,7.567,1.066,2.257,0.81,-0.516,0.247,-1.067,0.537,
AMSC,🎰lottery,2.842,19.082,-1.963,-0.768,-2.443,0.977,0.564,-3.474,-3.25,
AMT,🏦majority,0.053,5.38,0.721,-0.144,0.33,-0.582,-0.441,-0.226,1.202,-1.765
AMWD,🏦majority,-0.449,9.271,0.837,1.453,1.497,0.747,2.252,-0.442,2.147,
AMZN,🏦majority,0.67,6.96,0.117,0.276,0.503,-0.352,1.103,-0.057,1.871,-3.268
ANAB,⚡panic,0.982,14.478,3.023,1.984,1.074,-0.935,3.447,-2.066,-2.485,-12.408
ANDE,⚡panic,1.38,7.908,2.753,-0.053,-0.37,0.056,0.994,-0.649,-1.97,-2.498
ANGI,🏦majority,-3.389,15.985,1.146,0.285,1.249,-0.774,-1.318,6.384,4.072,-23.081
ANGO,⚡panic,0.286,14.197,2.716,-0.74,3.152,-0.878,2.526,-6.79,-9.05,
ANIP,⚡panic,0.646,10.044,2.849,-0.433,-0.353,-0.056,2.778,-1.895,-0.057,-0.815
AON,🏦majority,0.833,4.429,0.663,-0.061,-0.052,-0.27,0.177,-0.306,0.151,-3.596
AOS,🏦majority,-0.151,5.283,-0.518,0.77,0.186,-0.248,-0.381,2.328,0.045,-4.255
AOSL,🎰lottery,0.898,15.474,-0.986,-0.018,-0.375,0.678,0.29,-1.391,1.332,-16.759
APA,🏦majority,0.475,9.253,1.613,-0.352,-1.308,-1.028,0.685,0.077,-0.236,-2.856
APD,🏦majority,0.002,5.239,0.198,-0.183,0.48,-0.393,-0.317,-1.464,0.768,-4.903
APGE,⚡panic,1.542,16.032,4.092,0.507,0.354,-0.485,0.222,1.102,2.631,
APH,🏦majority,1.38,5.909,0.607,-0.475,0.008,0.213,0.834,0.475,0.235,-0.602
APLD,🏦majority,1.909,21.104,1.1,0.0,-3.139,0.071,-3.825,4.416,-2.903,-28.59
APOG,🏦majority,0.22,7.804,-1.044,0.743,0.173,-0.356,-0.349,-0.789,1.213,-4.789
APP,🏦majority,2.497,15.351,-2.642,-1.546,-1.557,0.219,1.865,3.632,-2.835,-16.137
APPF,⚡panic,0.545,8.028,2.249,0.553,-0.275,0.154,1.462,2.466,-2.197,-3.036
APPN,🏦majority,-1.687,10.585,1.962,0.894,-1.979,-1.113,1.677,1.316,3.706,-10.698
APPS,🏦majority,-2.254,16.567,-0.13,-3.441,2.264,-0.131,1.16,-2.595,1.077,-6.123
APTV,🏦majority,-0.656,8.245,1.488,-0.13,-0.826,-0.673,0.215,0.198,-0.696,-9.526
ARCB,⚡panic,0.459,9.832,1.516,0.168,-0.393,-1.104,1.725,0.378,1.265,-4.387
ARCC,🏦majority,0.366,3.624,1.304,0.179,-0.146,-0.366,0.462,-0.467,-0.011,-4.184
ARCT,🎰lottery,-1.132,18.27,2.229,0.84,1.745,-1.003,-1.473,0.596,-2.173,-13.019
ARE,🏦majority,-0.699,6.726,0.538,-1.043,-0.712,-0.621,-0.47,-0.017,-1.52,-7.497
ARHS,🏦majority,0.32,14.036,0.692,-0.904,0.027,-0.853,1.412,0.224,-1.113,-23.569
ARLP,🏦majority,1.075,6.87,1.502,-0.243,0.76,0.465,0.915,-0.554,0.056,-3.328
ARQT,⚡panic,0.558,14.383,4.502,0.217,0.397,-0.254,3.611,-1.565,-7.154,-19.159
ARRY,🏦majority,-1.496,16.125,2.025,0.097,0.429,-1.971,1.364,-3.015,0.246,-5.8
ARVN,🏦majority,-1.529,14.037,0.069,0.32,1.288,0.448,0.722,2.858,-1.265,-13.765
ARWR,🏦majority,-0.193,12.627,1.291,-0.199,-1.158,-0.385,2.817,0.844,3.517,-7.112
ASAN,🏦majority,-1.089,15.318,1.371,0.078,0.098,0.252,-1.054,3.353,-4.665,-18.708
ASND,⚡panic,0.051,9.161,8.53,1.27,0.664,-0.769,6.788,-0.357,-2.596,-4.74
ASO,🏦majority,0.23,8.325,1.264,-0.667,0.248,-0.664,1.236,-1.268,-0.569,-2.661
ASTE,🎰lottery,0.733,12.212,0.586,0.766,2.753,-0.654,-0.077,2.131,3.444,-9.944
ASTL,🏦majority,-0.967,10.108,0.13,-0.302,-0.402,1.465,1.509,-1.589,0.005,
ASTS,🏦majority,-0.091,21.298,1.608,-2.201,-1.599,0.344,0.231,5.586,2.125,-13.267
ATEC,🏦majority,0.0,12.732,0.544,-1.233,0.066,0.502,1.181,2.196,3.794,-11.584
ATEX,🎰lottery,0.061,12.486,0.621,-1.38,0.651,0.114,-2.164,-4.292,-2.119,
ATO,🏦majority,0.635,3.49,0.659,0.277,0.43,-0.459,0.683,0.27,0.522,-1.031
ATRC,🏦majority,-0.684,9.12,-0.251,0.012,-0.018,-1.192,1.151,0.349,2.144,-1.288
