seq,n_is,med_is,null_mu,null_sd,z,beats,n_oos,med_oos,n_26,med_26,oos_seen
T3>>>T1G,730,0.3323361216112376,-1.0431411536139867,0.6894103301270588,1.9951503699860764,False,338,3.061614150770403,142,5.27384388121575,False
T1>T2>>T1G,226,0.7534974241293182,-0.8819814049082767,1.115649975582657,1.4659426028163118,False,152,0.3899031763458795,77,3.7196192998637576,True
T2>T2>>T1G,308,0.2577222067928377,-1.3523895516352484,1.1049373743759214,1.4571972998356506,False,168,2.6326741924910744,77,1.8241326590279272,False
T5>T2G>>T1G,287,0.4967773703124458,-0.9194708974186271,1.002619520893362,1.4125480685526213,False,119,0.4640880148262529,55,0.4640880148262529,True
>T4>>T1G,1240,0.09850671821239344,-0.5224118312202701,0.4617891268783374,1.3445932640944365,False,652,5.613564587208591,297,6.898926186631843,False
T2G>T2>>T1G,473,0.3349092979353875,-0.5240945184243249,0.759809327765275,1.1305518173700035,False,225,2.2364203694458293,113,3.874787165536225,False
T9>>>T1G,762,0.7511866547465997,0.13287727079302883,0.563053663080583,1.0981357985856488,False,322,0.7368893893912989,125,0.9258507424900144,True
T6>>>T1G,297,0.8110180198957209,-0.16316413697551724,1.073861174445522,0.9071769983436153,False,124,3.6028607807587707,62,4.503634745263868,True
T2G>T2G>>T1G,997,0.6964279789065277,0.26624424155679277,0.49572390230083063,0.8677889755831815,False,414,2.204788684587172,189,2.55776574741407,True
T2G>>>T1G,1788,0.1857948251949683,-0.11752834842581994,0.4013289753254145,0.7557968456547174,False,943,0.6450439931500465,380,1.0969227434942277,False
T4>T2>>T1G,225,0.8799934713314586,0.04572023715932822,1.1218011497632938,0.743690835357199,False,106,3.3805579917233817,49,5.039070508088966,True
T5>>>T1G,632,0.043471328629046804,-0.4372611507913268,0.6942738417615579,0.6924248769053823,False,283,2.924683401350375,143,4.711888752548937,False
T2>T2G>>T1G,467,-1.6191291289798293,-1.763426993646954,0.8472052666355825,0.17032219976648597,False,228,0.45502069824246444,97,-0.0064433021443154135,False
T4>T2G>>T1G,316,-0.18280110109116776,-0.1706382981851381,0.935955763016645,-0.012995061718331837,False,145,1.4434482360908443,61,2.60349668407252,False
>T9>>T1G,1460,-0.00019481950677678085,0.04937748792098807,0.41805972159611393,-0.11857709524969852,False,682,0.9534649454877422,243,1.8181430418968525,False
>T1>>T1G,1522,0.4317487234176633,0.5066113037570412,0.36067517656487535,-0.20756233088281928,False,696,2.623528061553498,259,4.385526016959368,True
>T3>>T1G,1306,-0.6901437355351423,-0.5209214367995268,0.4655043981989097,-0.36352459695409123,False,647,3.3600735351156317,291,6.782282292627212,False
T1>T2G>>T1G,367,-0.40656702112607507,0.011165102933425358,0.8220130166385587,-0.5081818847196897,False,187,2.4744440588953696,88,2.482607336485515,False
>T5>>T1G,1132,0.1877475497218785,0.4477283014340317,0.4809361257038433,-0.5405723084987117,False,604,3.502679866267094,273,6.252383769085062,False
T1>>>T1G,787,-0.2649843179481636,0.08059200655591146,0.5684238803291608,-0.6079553242977054,False,402,2.322138397271861,163,3.297932314388735,False
T4>>>T1G,661,-1.2254727342711766,-0.6519416274664868,0.7654055421753437,-0.7493166370009141,False,351,4.30022121989429,133,2.962936229458607,False
>>>T1G,7860,0.1508770685036688,0.28572021899831906,0.15876713010947052,-0.8493140261568967,False,3657,0.8496900275066834,1688,2.532237364476092,False
T2>>>T1G,920,-0.6916157519146591,-0.139232011137644,0.5152191798332046,-1.072133496574879,False,564,1.2030745150669877,251,3.1873017396981504,False
T3>T2G>>T1G,324,-0.7029839683699133,0.4258545665400772,0.9676694731331132,-1.1665538350145999,False,148,1.2378114902568296,39,1.3558244187543536,False
T9>T2G>>T1G,371,-0.9943855955197698,0.2227144453212075,0.7788539216062376,-1.5626807634619606,False,173,2.545851775902258,57,1.6516948518590369,False
T10>>>T1G,290,-3.005055736794404,-1.2573135485778135,1.1096604708313054,-1.5750242836957729,False,169,1.7677689008509134,70,4.745815265248282,False
