ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AXP,🏦majority,0.641,5.738,0.351,0.0,0.354,-0.655,0.524,0.101,0.919,-3.274
AZO,🏦majority,0.693,4.794,1.542,0.456,0.423,-0.107,1.311,-0.328,-0.751,-1.921
BA,🏦majority,0.038,7.442,0.477,-0.517,-0.806,0.819,0.656,-0.199,1.547,-7.542
BABA,⚡panic,-1.271,10.48,1.973,-0.728,0.251,-0.882,3.412,-0.223,1.97,-7.372
BAC,🏦majority,0.864,5.797,-0.633,0.588,0.418,-0.147,0.342,2.399,-0.588,-0.729
BALL,🏦majority,0.375,5.928,0.658,-1.204,-0.466,-0.265,-0.623,-0.049,-1.081,-9.325
BAX,🏦majority,-0.407,6.43,0.407,0.037,-1.133,-0.449,1.318,-1.094,-2.094,-1.849
BBY,🏦majority,-0.217,7.066,0.283,-0.395,0.195,-0.47,0.534,-0.327,0.972,-2.672
BDX,🏦majority,0.04,4.261,0.741,0.186,-0.481,-1.101,1.186,-0.49,0.978,-1.028
BEN,🏦majority,-0.301,6.157,-0.438,-0.296,-0.346,0.007,1.037,0.03,-0.136,-0.723
BG,🏦majority,0.686,5.768,-0.253,0.446,-1.05,0.044,-0.132,-1.247,0.86,-2.328
BIDU,⚡panic,-0.492,9.801,1.569,-0.187,0.294,-0.525,3.26,-2.187,1.226,-3.393
BIIB,🏦majority,-0.598,5.906,0.653,-0.335,-0.564,-0.323,0.356,0.231,-0.534,-4.612
BILI,🏦majority,-1.613,14.698,1.159,-0.74,1.269,0.492,1.754,-0.948,1.24,-11.404
BILL,🏦majority,-0.541,13.542,1.423,0.135,-1.46,0.246,-0.358,0.466,-0.181,-3.784
BIO,🏦majority,-0.028,7.002,1.002,0.401,-0.515,-1.351,0.66,-0.873,-1.224,-8.596
BKNG,🏦majority,0.953,6.451,0.291,0.121,0.588,-0.296,0.133,-0.453,0.962,-0.802
BKR,🏦majority,0.816,6.91,0.725,0.05,0.587,0.012,1.357,0.185,-0.956,-6.071
BLDR,🏦majority,1.294,8.952,-0.252,-0.441,-0.177,-0.67,-2.681,-1.829,-1.418,-9.657
BLK,🏦majority,0.197,5.5,-0.499,0.017,0.974,0.295,-1.948,-0.689,0.861,-5.11
BMY,🏦majority,-0.086,4.729,-0.335,0.048,0.119,0.086,-0.816,1.449,0.888,-4.367
BR,🏦majority,0.186,4.601,-0.415,0.043,-0.252,0.164,-0.278,0.561,-0.358,-4.639
BRO,🏦majority,0.879,4.964,-0.235,0.05,-0.216,0.222,-0.462,0.562,0.525,-3.397
BRZE,🎰lottery,-0.012,12.511,-1.41,2.043,0.464,-0.018,0.419,0.072,-4.271,-3.752
BSX,🏦majority,0.651,4.78,0.77,0.151,-0.088,-0.58,0.424,1.432,0.34,-4.149
BWA,🏦majority,0.422,6.636,1.413,0.24,-0.733,-0.218,0.331,-0.841,0.357,-5.351
BX,🏦majority,0.405,7.79,-0.001,-0.46,1.958,-0.804,-0.317,0.379,1.231,-4.466
BXP,🏦majority,-0.342,6.105,0.718,-0.421,-1.261,0.063,1.197,-1.645,0.17,-8.79
C,🏦majority,0.692,6.073,0.023,0.173,0.853,-0.151,-0.063,1.616,2.152,-4.319
CAG,🏦majority,-0.478,4.327,0.13,-0.261,0.585,-0.404,-0.368,0.526,-0.411,-4.438
CAH,🏦majority,0.897,5.306,0.151,0.261,0.317,0.024,1.035,0.074,-0.332,-4.112
CARR,🏦majority,0.185,6.38,1.134,0.568,-0.816,-0.306,0.655,0.288,-0.379,-5.474
CASY,🏦majority,1.114,4.984,1.338,0.204,-0.467,0.212,1.208,-0.13,-0.238,-5.271
CAT,🏦majority,1.208,6.502,-1.345,-0.26,0.545,0.14,-1.348,-0.369,1.44,-6.796
CB,🏦majority,0.634,3.602,1.273,0.323,-0.234,-0.06,1.497,1.234,-0.19,-4.077
CBOE,🏦majority,0.709,4.657,0.557,0.489,0.074,-0.128,1.076,0.84,-1.334,-6.593
CBRE,🏦majority,0.928,5.95,-0.197,0.451,-0.238,-0.48,-0.235,-0.317,0.343,-2.903
CCI,🏦majority,-0.539,5.286,-0.132,-0.156,0.819,-0.133,-0.451,1.029,-0.24,-6.004
CCL,🏦majority,0.548,11.1,-0.445,-0.665,-0.249,0.523,0.203,0.921,0.002,-1.847
CDNS,⚡panic,0.996,6.781,2.547,0.442,0.113,0.028,4.34,0.027,-0.476,-6.63
CDW,🏦majority,0.044,6.348,1.005,-0.177,-0.197,-0.275,0.533,0.444,0.247,-2.451
CE,🏦majority,0.019,8.843,-0.841,0.382,0.02,-0.468,-2.094,0.214,-1.8,-4.631
CEG,⚡panic,0.971,10.188,3.064,-0.053,0.915,-0.622,2.993,0.993,0.818,-6.191
CF,🏦majority,0.342,7.255,0.622,-0.266,-0.069,-0.57,0.341,0.484,-1.459,-4.034
CFG,🏦majority,0.844,6.748,0.495,-0.096,0.477,-0.768,0.407,0.163,0.662,-8.003
CFLT,⚡panic,0.294,14.54,3.375,-0.25,0.672,-2.077,3.031,-1.364,-2.238,-15.652
