state,cell,n,med,pos,ny,worst,asym,dasym
S1 RSI<35,T5,16939,0.9066868152625585,6,6,0.304173930278262,34.097504352872896,2.5066063996899572
S1 RSI<35,T12,3144,1.1241632694773962,6,6,0.12642697913215484,36.015779092702175,4.424881139519236
S1 RSI<35,T11,1533,0.8620689655172376,5,6,-1.6621975556544155,36.72496025437202,5.134062301189083
S1 RSI<35,Z6,10808,1.3634688818918828,5,6,-0.09584562379593153,37.5626423690205,5.971744415837563
S1 RSI<35,Z1G,15506,0.8352118115459883,6,6,0.13665202537822552,33.046311380032584,1.4554134268496455
S1 RSI<35,Z5,4976,1.0100614318074186,5,6,-0.37415541352019965,35.342059767843914,3.751161814660975
S1 RSI<35,T2,6378,-0.1774833174291779,3,6,-0.8115419296663595,32.37082066869301,0.7799227155100681
S1 RSI<35,T2G,7878,0.2305796739752619,4,6,-0.1583352182764064,32.03517587939699,0.44427792621404905
S1 RSI<35,Z2,46626,0.5970834847352502,6,6,0.07278020378456151,34.63735008566534,3.0464521324824005
S1 RSI<35,T4,6846,0.2763774315103329,4,6,-0.4336841049368212,32.72727272727273,1.1363747740897878
S1 RSI<35,T5|L46,8925,0.9145187126838428,6,6,0.2561952349564689,34.22053231939163,2.629634366208691
S1 RSI<35,Z1G|L46,10904,0.8268203120053941,6,6,0.16681831968456962,31.85995623632385,0.26905828314091096
S1 RSI<35,T5|L5,2814,1.3403409755581297,6,6,0.0344589937973816,38.09946714031972,6.508569187136779
S1 RSI<35,Z1G|L5,3327,1.0218463706835879,6,6,0.25490196078432614,37.33382570162482,5.742927748441879
S1 RSI<35,T5|L25,4559,0.6821705426356628,6,6,0.23807307352325946,34.59715639810427,3.006258444921329
S1 RSI<35,Z1G|L25,1275,0.19254728734849902,3,6,-0.6875449964003022,31.97729422894986,0.3863962757669199
S2 RSI 35-45,T5,30263,0.5931901767706638,6,6,0.10952902519167917,33.22692977365061,1.6360318204676716
S2 RSI 35-45,T12,7476,0.8295801129340474,4,6,-0.7374000525528057,35.5730563002681,3.9821583470851607
S2 RSI 35-45,T11,4510,0.7402623321433266,5,6,-0.5698154394125521,36.41379310344828,4.822895150265339
S2 RSI 35-45,Z6,18889,0.44283413848631437,5,6,-0.11422769386978393,33.36831059811123,1.7774126449282903
S2 RSI 35-45,Z1G,29197,0.41887740854509303,5,6,-0.2745792736935315,32.48294274695936,0.8920447937764209
S2 RSI 35-45,Z5,18076,0.671431791575483,5,6,-0.35142166035325717,34.86314625380149,3.27224830061855
S2 RSI 35-45,T2,25623,-0.2599428125812264,2,6,-1.0114107883817391,30.341518487157774,-1.2493794660251645
S2 RSI 35-45,T2G,37451,0.18348623853210455,4,6,-0.3556238737651096,30.88974283180609,-0.7011551213768499
S2 RSI 35-45,Z2,67709,0.03320328712543841,3,6,-0.5955519439743651,31.056439942112878,-0.5344580110700612
S2 RSI 35-45,T4,23357,0.16686752572541153,4,6,-0.7518796992481258,31.12377006732263,-0.4671278858603074
S2 RSI 35-45,T5|L46,15201,0.5524861878453136,5,6,-0.10696821515890909,34.48444771001714,2.8935497568342043
S2 RSI 35-45,Z1G|L46,19443,0.29802221620158775,3,6,-0.4036764422521044,33.03167420814479,1.440776254961854
S2 RSI 35-45,T5|L5,5011,0.9106431417188476,5,6,-0.19816249324445812,35.43326693227092,3.842368979087979
S2 RSI 35-45,Z1G|L5,7191,0.6936416184971206,5,6,-0.1395439507710261,35.283903455461015,3.6930055022780763
S2 RSI 35-45,T5|L25,8695,0.5244755244755206,5,6,-0.07250580046402888,34.83113909559245,3.2402411424095092
S2 RSI 35-45,Z1G|L25,2563,0.454545454545463,5,6,-0.40295723990940724,34.31558935361217,2.7246914004292293
S3 ≤5% off 20d-low,T5,46712,0.5284714057101958,5,6,-0.16556291390728006,32.17665615141956,0.5857581982366185
S3 ≤5% off 20d-low,T12,10490,0.6464509255335149,4,6,-0.4774163570709755,34.51115834218916,2.9202603890062235
S3 ≤5% off 20d-low,T11,6327,0.40156977274803385,5,6,-1.0677313546754053,33.437639696021456,1.8467417428385176
S3 ≤5% off 20d-low,Z6,31986,0.5912048020311422,5,6,-0.43844108238351165,32.33038348082596,0.7394855276430192
S3 ≤5% off 20d-low,Z1G,45945,0.4311672312904191,4,6,-0.02988877250343358,32.22601676497982,0.6351188117968789
S3 ≤5% off 20d-low,Z5,23605,0.3556771545827786,5,6,-0.1266077034405899,31.844288449266113,0.2533904960831741
S3 ≤5% off 20d-low,T2,31855,0.03559193842594954,4,6,-0.6461538461538519,29.347101932045305,-2.2437960211376335
