est,se_boot,width,se_iid,width_iid,n,n_dates,n_distinct
0.7526646511296969,0.19593734708085472,0.7346112086307055,0.037966969497320806,0.14703561083636796,36852,898,185
0.6479583447519749,0.16130139194672613,0.6427745178901982,0.03619256853848566,0.13136649792594846,37885,898,171
0.6913916145993121,0.18672542514881485,0.7234571881143573,0.03755136229483487,0.15130812654303993,37688,898,179
0.7069518716577455,0.19121419044249754,0.7679971549273572,0.037730215245790365,0.14275640588707117,38815,898,186
0.8199739863583239,0.1923226093387241,0.7640528737793544,0.03909330282951115,0.1431476636615736,39118,898,179
0.7096491228070428,0.1751280430590983,0.6914161817475443,0.03819976219449646,0.15314402827861728,37019,898,176
0.728783054040793,0.18803095346243862,0.7336629468487875,0.0347669129681753,0.1241984458552381,38640,898,184
0.6440614954322571,0.19527101948858708,0.807188259983426,0.03682864841063442,0.12384357326087225,39672,898,178
0.6524109014675034,0.17062171085464758,0.6378044032444867,0.03770621497768841,0.12322967407789265,38575,898,173
0.621133931487638,0.16139609065049987,0.6192794773468824,0.04149208553925607,0.1487214115328711,35939,898,168
0.7707067258450045,0.17744786405399232,0.6687844792126856,0.03637711604376508,0.14791722459951528,38625,898,174
0.7761942051683673,0.1943326247391714,0.7712485747407467,0.0331869536294154,0.1170572364493272,39151,898,192
0.554995499549959,0.1915836486740036,0.7167607721443301,0.04108762746623558,0.15109582113464082,38019,898,182
0.7293864753065143,0.1805234788121197,0.686478183453783,0.03431433608133529,0.13619310375338756,38392,898,185
0.5348109517601002,0.20070987525072695,0.7158695279183941,0.044730493475495,0.1767949397294727,38103,898,172
0.781484799802345,0.1619583589026082,0.6199672199139784,0.040536883415629416,0.16590891579132072,37228,898,174
0.707533123631276,0.19121321701563257,0.7534236242607144,0.04090779791297421,0.16267512293986763,37944,898,177
0.5374609130706637,0.2092321861750015,0.7602926878487264,0.043938808890361544,0.15218459669945505,39118,898,176
0.6664500886001118,0.18866853381349405,0.7161200501287708,0.03757674489289673,0.1359780689601675,38403,898,175
0.7848968470221868,0.18716049112023014,0.761012725062268,0.03744894470412638,0.14658277751702975,37975,898,186
0.693103184245924,0.1925023690412299,0.765578709880123,0.03654331041058533,0.14622174325405468,37594,898,179
1.1173688100517327,0.19013019584222285,0.6896126775141334,0.04480705117330831,0.18204027231295106,37573,898,187
0.6289855072463707,0.2031747853330276,0.8191551862189909,0.03396652513855333,0.1334633297288229,39643,898,177
0.6,0.18662610339510113,0.7551573837897333,0.0397764549217047,0.16323927075353595,37910,898,184
0.8302803887126003,0.17998568685493738,0.6835176796020888,0.03256349747021052,0.12231550940296043,37866,898,187
0.7406636965318064,0.18713807358361467,0.7701134082950982,0.03818382344993262,0.13698777076323165,39680,898,179
0.9283093182525953,0.20759305558817226,0.8178582565221245,0.03511786368148371,0.1323042163955318,38968,898,188
0.6816375023865001,0.23446047008745521,0.884095516215184,0.03718678953972434,0.13893694730817752,38640,898,188
0.7309823677581923,0.18751797694208078,0.7116050802757793,0.03851787209449832,0.13221307448006592,38257,898,174
0.5698067632850295,0.2040915027672357,0.7436608049877855,0.03596604225129516,0.131608926508765,38601,898,178
0.6473036896877943,0.19992659871584442,0.7843240785795988,0.03389846532848084,0.10916666205514236,39499,898,175
0.8056367390462332,0.1632329091128824,0.6324262213122294,0.03322422679714655,0.13672135630474536,38350,898,184
0.7918868877293422,0.1799845055758135,0.701170312500425,0.03833001350291758,0.14536831479929402,37620,898,180
0.9645358677255572,0.17643467866176843,0.7279345398541064,0.04100241758220057,0.15419907244992492,37525,898,184
0.7412429378531143,0.17176234726226197,0.606497210729269,0.0340423730936978,0.13478812831141995,38136,898,186
0.8197401585702363,0.20032115810987314,0.7728068099436437,0.038684344460043825,0.16558966166754396,38952,898,177
0.8289639381797492,0.1588314984399199,0.6503552134306003,0.03328306721111298,0.12917241218737718,36467,898,184
0.7068090787716969,0.19075171493076878,0.7484084873112429,0.03930225832395477,0.14528851645741525,37757,898,175
0.8027820856243201,0.21259699947734292,0.8938249928200558,0.03958962744974586,0.15869412933397165,38136,898,179
0.607627474161942,0.1784291082024386,0.687192154964016,0.03631088326179395,0.14086662288787488,36729,898,171
0.8487040171450849,0.18934598450305537,0.6983323783852095,0.03805027422473227,0.13727109127253,38770,898,186
0.8597182640089013,0.20737416784843413,0.8591425489708489,0.041923249997977266,0.15318492741672352,39352,898,187
0.5828869221437988,0.18603727593723166,0.668094725824371,0.035926154465841596,0.14509255152237788,37932,898,178
0.6649350649350566,0.20676608886063866,0.8105048178385252,0.03644293446465229,0.13801635957006253,38021,898,178
0.7959103739424539,0.184532272917195,0.734547423239956,0.036128212245691266,0.15008670156348825,37428,898,183
0.5085646995609033,0.19216431201500772,0.677238074199137,0.04422461173516253,0.16698636107241677,36724,898,175
0.6413308534821244,0.18944478218933544,0.7085103721293057,0.03925849623415125,0.13676343354656562,36225,898,178
0.7802276286483328,0.19946869209155813,0.7618248730308674,0.04059290629074325,0.1485964606661505,37580,898,184
0.8667448357136504,0.1616155973624835,0.6261533165127796,0.030283388895358632,0.1281262670907607,39152,898,188
0.8201028330771182,0.17827087472537145,0.7333274329567587,0.03253557152283833,0.12618652132246,40056,898,183
0.6,0.17809761557306714,0.640797841628544,0.034701904867768384,0.14330571809878812,37649,898,178
0.7843317972350267,0.18207642977125565,0.6550845414011093,0.03718018934657309,0.1397634411119386,39035,898,181
0.7294777729822893,0.18941916313492888,0.7235157312191847,0.03721414521098422,0.14371829569291117,38869,898,180
0.7889877038667609,0.1924729206073013,0.7476594534575938,0.03797356308413201,0.15014123082120245,37728,898,180
0.6946736980023899,0.1685151837246516,0.6200464312636541,0.038866297012095846,0.15386977538760782,37870,898,174
0.68943663805695,0.20042839011099384,0.7231140644986818,0.04024568037205238,0.170287912210077,39372,898,178
0.7166377995481693,0.18131373343342763,0.6961668273867194,0.03357042441452294,0.12413609668631809,37562,898,177
0.7678254615200103,0.1921195671114957,0.7065304518694996,0.03540289796632062,0.13013228312290126,38693,898,184
0.8377289889526013,0.18314142701751904,0.7100602935920108,0.040162297751228794,0.14086376034783132,38363,898,182
0.6828729281767693,0.18523475444138401,0.7374006138196569,0.03383836425756633,0.12506399779655786,37659,898,179
0.6857503152585037,0.19526856880446727,0.7839140834834502,0.03436296508146755,0.14279511703202352,37671,898,181
0.5874545226446032,0.19679256973114,0.7753656590391206,0.03977022705507468,0.15722480439855857,39473,898,187
0.6399771787282788,0.18755724717843536,0.6698645729424477,0.03530864241286418,0.1293008076781621,38368,898,187
0.8812092250859876,0.18768479266934257,0.7028190392591667,0.041514158509341106,0.15730026016874454,37410,898,184
0.8804612028669551,0.18426533867409225,0.7103066080093439,0.035100135288615754,0.14618644148634952,39279,898,188
0.7024065540194518,0.1667929490339546,0.6882263154326083,0.04057154772201722,0.15377953154671498,38449,898,179
0.6285784857076976,0.19334609602858643,0.7382431694488814,0.035971729069747035,0.1380849247000412,38508,898,177
0.663463008104303,0.19370984340263447,0.716438559560304,0.03661878002741174,0.12395421774708171,38650,898,173
1.055353712816209,0.20503340398717051,0.738384276880037,0.04164155437448989,0.15883550918204437,38084,898,188
0.720144173007608,0.17753400078967144,0.6885255648309114,0.037037901370346404,0.14031029712655407,37933,898,171
0.5258984809188622,0.18324999088616326,0.6514956584980933,0.040444368904261195,0.13821989528796097,36751,898,177
0.9249431448992812,0.18872747678903962,0.6943730206329101,0.03647330820687638,0.1470113291929337,37754,898,185
0.6595961102705766,0.21408851384796135,0.8433698276589634,0.037957549651880106,0.13831253400660437,38554,898,178
