cell,setup,n_cell,n_ctl,dates_cell,dates_ctl,top_date_share_cell,top_date_share_ctl
¬sig_rs_intact,Spring,1132,145,576,93,0.012367491166077738,0.05517241379310345
¬sig_rs_intact,T1-CapBounce,120,25,104,22,0.025,0.08
¬sig_rs_intact,Washout,12515,1568,1168,432,0.016060727127447064,0.05357142857142857
¬sig_rs_intact,Z-Absorb-Turn,24,9,22,9,0.08333333333333333,0.1111111111111111
¬sig_rs_intact,Z11-T11,278,57,143,35,0.07194244604316546,0.14035087719298245
¬sig_rs_intact,ZRT,1652,517,586,252,0.021791767554479417,0.0425531914893617
¬sig_rs_intact,ZRT🟢,8,4,7,4,0.25,0.25
¬sig_rs_intact,Zone-Retest,49696,15084,1279,1091,0.008048937540244688,0.01213206046141607
¬sig_rs_intact,ppr×NS,1117,588,488,326,0.02954341987466428,0.027210884353741496
¬sig_rs_intact,⚡G3-Abs,4,1,4,1,0.25,1.0
¬sig_rs_intact,🌉Z1G→T4,61,14,27,14,0.3114754098360656,0.07142857142857142
¬sig_rs_intact,🌉v2 Z1G→T3/T6,60,15,28,13,0.35,0.2
¬sig_rs_intact,🎯Cluster,387,232,230,163,0.025839793281653745,0.034482758620689655
¬sig_rs_intact,🎯Confluence,1,1,1,1,1.0,1.0
¬sig_rs_intact,🎯Confluence≥3,1378,261,605,162,0.03193033381712627,0.038314176245210725
¬sig_rs_intact,🎯Confluence≥4,142,27,109,25,0.1056338028169014,0.07407407407407407
¬sig_rs_intact,🏆L34→L34,134,92,114,74,0.022388059701492536,0.03260869565217391
¬sig_rs_intact,👑Z1G-CROWN,308,88,122,41,0.41883116883116883,0.375
¬sig_rs_intact,🧲Z9-HL,127,23,48,17,0.4015748031496063,0.30434782608695654
¬sig_rs_intact,🧺SEQ-20,166,105,118,79,0.05421686746987952,0.05714285714285714
sig_conso,Atomic,16332,5943,1161,859,0.01414401175606172,0.020023557126030624
sig_conso,Atomic-R,112,38,73,26,0.07142857142857142,0.10526315789473684
sig_conso,D+L1,2773,247,781,170,0.015146051208077894,0.05668016194331984
sig_conso,Engulf-Abs,212,398,155,149,0.0330188679245283,0.2663316582914573
sig_conso,FailedBear-Turn,141,38,113,30,0.04964539007092199,0.07894736842105263
sig_conso,G3+RL,589,225,211,101,0.0831918505942275,0.07555555555555556
sig_conso,G3-Abs,134,67,97,51,0.07462686567164178,0.07462686567164178
sig_conso,G3-gap,4904,2216,891,535,0.03364600326264274,0.03203971119133574
sig_conso,G3→G3,3652,1675,858,597,0.03477546549835706,0.056119402985074625
sig_conso,G3→G3→RL,167,228,79,71,0.17964071856287425,0.40789473684210525
sig_conso,G3→L46 🕐,7898,2754,1067,769,0.02557609521397822,0.02578068264342774
sig_conso,HighBase-15mDip,6107,972,1016,492,0.01015228426395939,0.01440329218106996
sig_conso,L34camp→REV,118,101,99,84,0.025423728813559324,0.039603960396039604
sig_conso,L43-TRIPLE,479,455,194,186,0.05219206680584551,0.10329670329670329
sig_conso,ND→SC→L46 🕐,93,55,65,23,0.053763440860215055,0.32727272727272727
sig_conso,NS→SC,187,132,121,89,0.08021390374331551,0.14393939393939395
sig_conso,P55,14635,1921,1258,724,0.007106252135292108,0.015616866215512754
sig_conso,Parabola,38350,10952,1273,1217,0.004823989569752282,0.00547845142439737
sig_conso,QZ-Capit,4047,2710,979,807,0.015814183345688165,0.016605166051660517
sig_conso,QZ-Capit-Rev,26669,9614,1246,1129,0.010274101016161085,0.012065737466195133
sig_conso,RTB-Base,17678,2178,1223,803,0.009107365086548252,0.008723599632690543
sig_conso,Spring,820,457,496,264,0.01097560975609756,0.024070021881838075
sig_conso,T1-CapBounce,98,47,89,42,0.030612244897959183,0.0425531914893617
sig_conso,Washout,5689,8394,937,1073,0.020390226753383724,0.02013342863950441
sig_conso,Z-Absorb-Turn,28,5,27,5,0.07142857142857142,0.2
sig_conso,Z11-T11,209,126,122,67,0.08133971291866028,0.1111111111111111
sig_conso,ZRT,1658,511,576,279,0.025934861278648975,0.03913894324853229
sig_conso,ZRT🟢,11,1,10,1,0.18181818181818182,1.0
sig_conso,Zone-Retest,44519,20261,1275,1235,0.004986634919921831,0.021617886580129312
sig_conso,coil_floor,210,183,127,117,0.06666666666666667,0.03825136612021858
sig_conso,g3g3rl,1,4,1,3,1.0,0.5
sig_conso,ppr×NS,1483,222,585,151,0.01820633850303439,0.05405405405405406
sig_conso,⚡G3-Abs,2,3,2,3,0.5,0.3333333333333333
sig_conso,🌀Engulf-AbsRev,1709,231,639,170,0.012287887653598596,0.021645021645021644
sig_conso,🌉Z1G→T4,33,42,26,15,0.12121212121212122,0.4523809523809524
sig_conso,🌉v2 Z1G→T3/T6,34,41,28,14,0.11764705882352941,0.5121951219512195
sig_conso,🎬StopVol-Confirm,818,395,453,264,0.018337408312958436,0.017721518987341773
sig_conso,🎯Cluster,293,326,216,187,0.023890784982935155,0.03374233128834356
sig_conso,🎯Confluence≥3,938,701,487,337,0.01812366737739872,0.06562054208273894
sig_conso,🎯Confluence≥4,94,75,86,55,0.031914893617021274,0.2
