layer,states,cells,cov,spread,iqr,wsd,stable
L0 TZ,25,25,100.0,0.330650161941344,0.155693027045678,0.12397216353515443,96.0
L1 TZ+L,94,85,99.99505832915713,0.44648225715741685,0.20646162268943558,0.1487174681561858,80.0
L2 TZ+L+suffix,603,449,99.70681357575813,0.6617886479563005,0.32694290249671853,0.20201891650880863,73.94209354120267
