est,lo,hi,se_boot,width,n_distinct,est_p,p_lo,p_hi,se_p,n,n_dates
0.5643084812233962,0.1567548747090075,0.88654807286573,0.17491538464320877,0.7297931981567225,200,3.6219281102459977,1.1185472003709103,6.0273275263447115,1.1653249915862947,36852,898
0.4596021748456741,0.15080356516505272,0.7507558649860896,0.15431382421929424,0.5999522998210369,200,2.9882453458442315,0.9567646328635093,5.124953873729976,1.080064620227621,37885,898
0.5030354446930113,0.19401870674540247,0.8479499081773473,0.1692424829587554,0.6539312014319448,200,3.271113468314435,1.2687580646656738,5.453726710090007,1.151241881723197,37688,898
0.5185957017514448,0.15222428530573734,0.8345345790967725,0.1690588772155522,0.6823102937910352,200,3.3107196583050946,0.9613259104576327,5.561772102745137,1.1270133477581221,38815,898
0.6316178164520231,0.3269625462570949,1.0106734119495822,0.18493676169101994,0.6837108656924873,200,4.019164320533486,1.9835221231555282,6.674126074020925,1.2327515737742212,39118,898
0.5212929529007421,0.17840927587022992,0.8179433018369476,0.16514317021127117,0.6395340259667177,200,3.5334990961139012,1.2498110435931777,5.541970237976476,1.1456050858423696,37019,898
0.5404268841344922,0.23822529979862508,0.8858082332570439,0.16364579227795567,0.6475829334584189,200,3.5526700472739425,1.5763177011773926,5.728836834472761,1.1293955142184728,38640,898
0.45570532552595633,0.1041971690922519,0.7906501049790405,0.19634218160999503,0.6864529358867886,200,2.900273814312737,0.60099432226395,5.173160251814998,1.2805961148445437,39672,898
0.4640547315612026,0.129401144168661,0.812930282631777,0.17070224815667476,0.683529138463116,200,3.049447720838794,0.7811634601656186,5.587122480377642,1.1736289540967155,38575,898
0.4327777615813372,0.09151688815550008,0.6799906676268226,0.14791847036543426,0.5884737794713225,200,2.8695145486279494,0.6557698408859362,4.7035911824042325,1.0113486414930066,35939,898
0.5823505559387038,0.2352099934839802,0.958274938537217,0.18473983843628705,0.7230649450532368,200,3.7754524147587176,1.457134354467607,6.041056455709171,1.2148259230386151,38625,898
0.5878380352620666,0.26604043747161715,0.9335276911982855,0.16514595503172705,0.6674872537266683,200,3.8202849563273023,1.7027877884747913,5.958360543280992,1.1120405415168408,39151,898
0.3666393296436582,0.008207028066992979,0.7030202390811986,0.17044755697521727,0.6948132110142056,199,2.338164518083652,0.060505986126091225,4.600370195440465,1.1334780718989614,38019,898
0.5410303054002136,0.19850173548349226,0.873648207238606,0.1746238033649665,0.6751464717551138,200,3.4851773372243655,1.1774986494961455,5.589568985748585,1.1598747746806448,38392,898
0.3464547818537994,-0.04369307192874954,0.6611540751807006,0.19006173186617994,0.7048471471094501,200,2.149050599953728,-0.24924521958513646,4.294444150386353,1.2147485952426993,38103,898
0.5931286298960442,0.31879761300940057,0.9413769288935793,0.1607097152638438,0.6225793158841787,200,3.8850652857473578,2.0205571982059087,6.1113335460935145,1.0523305209321332,37228,898
0.5191769537249752,0.20138635085309609,0.8461480632134678,0.1653453935301861,0.6447617123603717,200,3.3431654880870187,1.3559859740110232,5.511376048055699,1.095894665754792,37944,898
0.3491047431643629,-0.06279374807078658,0.7368669050795108,0.2022805933486654,0.7996606531502974,200,2.165797583992757,-0.3902244851126883,4.672123035460395,1.2888395384617324,39118,898
0.478093918693811,0.15259290694859318,0.8213942206773258,0.1800481997692659,0.6688013137287326,200,3.1417258324149544,0.9316616742584105,5.627659446762675,1.2466674481552815,38403,898
0.596540677115886,0.25188790988445925,0.9110196741403999,0.1732172122866425,0.6591317642559407,200,3.9341567232907826,1.5027429907890029,5.859840351960506,1.1672795108381917,37975,898
0.5047470143396232,0.20952086757162233,0.876230747392904,0.17360143526193328,0.6667098798212816,200,3.2822324163185645,1.3456807665210038,5.72657698455717,1.1615183789323598,37594,898
0.929012640145432,0.6329712636701623,1.26015765830547,0.171856418661586,0.6271863946353078,200,6.197125486648036,4.068032551349386,8.444452987210004,1.1179846535628362,37573,898
0.4406293373400699,0.08319363563472237,0.7885974427119428,0.1812673905655713,0.7054038070772204,200,2.810405585398923,0.5751683146204776,5.406951196417598,1.2178832975789555,39643,898
0.4116438300936992,0.016382962194577706,0.7852456127495412,0.19688749238314757,0.7688626505549635,200,2.594483692209404,0.10573359309729868,4.9919524974809635,1.2809964090152144,37910,898
0.6419242188062996,0.29318533490462817,1.0368959110921323,0.1810227286675466,0.7437105761875041,200,4.229699506829432,1.8440839185507172,6.723661071906397,1.2094752704613818,37866,898
0.5523075266255056,0.24285410011279346,0.8850093118058996,0.1795442895704822,0.6421552116931062,200,3.602791515917503,1.5069835592604675,5.911955857196325,1.2363079316172374,39680,898
0.7399531483462946,0.47633935782649517,1.110369074358058,0.16624629880135064,0.6340297165315629,200,4.8870472907136975,3.18881418934186,7.353514769353504,1.10279773870578,38968,898
0.49328133248019934,0.09613728428171099,0.8516265449786743,0.18595863315464148,0.7554892606969633,200,3.0687155959281953,0.5320645789717838,5.39327651607013,1.2067968345591842,38640,898
0.5426261978518915,0.17968570590296634,0.8632081252242592,0.1620528132872304,0.6835224193212928,200,3.5096332271539854,1.1073561449687064,5.707778055253817,1.1031800019650742,38257,898
0.3814505933787288,-0.025843404304343728,0.7062110909435516,0.18145892599021154,0.7320544952478953,200,2.4955191769508556,-0.1631295477629277,4.778358363945999,1.2527127288826936,38601,898
0.4589475197814935,0.14251159605096847,0.8116187106371028,0.18014792662836068,0.6691071145861343,200,2.9020741284213725,0.9091211932237807,5.378063772442545,1.2009138290785757,39499,898
0.6172805691399325,0.32506157227322,0.9085721228155149,0.14630141740158012,0.5835105505422948,200,4.091463604490498,2.136839839535739,6.017449893105973,1.0124876362293256,38350,898
0.6035307178230415,0.24241158683660113,0.9875189440974093,0.19103675892463587,0.7451073572608081,200,3.8035442683998832,1.5329138646013138,6.171715220022109,1.2604171488811056,37620,898
0.7761796978192564,0.47314991752128666,1.0703559073978393,0.15822016829044247,0.5972059898765526,200,5.131244993169226,3.1079790469334854,7.192778818281792,1.050261050010183,37525,898
0.5528867679468136,0.2479855932649952,0.8318432427668511,0.1532224178588295,0.5838576495018559,200,3.6771444683390553,1.5484307537020023,5.466860018880471,1.0736700456137804,38136,898
0.6313839886639355,0.3020653831656722,0.9683354498432674,0.17938894843015962,0.6662700666775951,200,4.147161882423179,1.970560948416116,6.3606791965500005,1.1995085080144512,38952,898
0.6406077682734485,0.32749401910569326,0.9460426961053549,0.15965553157860177,0.6185486769996615,200,4.274231121721073,1.9864437060122087,6.108873529080697,1.0842650250783,36467,898
0.5184529088653961,0.18901627234587937,0.8565579808174224,0.16981827816520687,0.667541708471543,200,3.3854385010524957,1.2319575875477224,5.535927412589562,1.155669135045842,37757,898
0.6144259157180193,0.2434132619434759,0.9737226393869872,0.18886337663727537,0.7303093774435113,200,3.900030979771829,1.4859156824090594,6.288407040705452,1.2179576037651965,38136,898
0.4192713042556412,0.08919055331154004,0.7939678794355333,0.17588053799312736,0.7047773261239932,200,2.7509341840122437,0.41514533389484026,5.318022955867959,1.2049148584709497,36729,898
0.6603478472387841,0.34970723688553945,0.989320964972106,0.1736111120270556,0.6396137280865666,200,4.399293789457904,2.2822314125013237,6.422002481557514,1.1465229482289934,38770,898
0.6713620941026005,0.3089321424305169,0.9664436148102203,0.16374747631655054,0.6575114723797034,200,4.215681011225369,1.8790850862982729,5.987248121736266,1.0498230387967926,39352,898
0.394530752237498,0.054041596086354414,0.7251871679433726,0.18616801703775224,0.6711455718570182,200,2.5138251184932514,0.3432517691166277,4.881878526797699,1.2494782929551602,37932,898
0.47657889502875583,0.05654715283674256,0.7988690628514136,0.18368087886854237,0.742321910014671,200,3.024498381435803,0.30438468569889804,5.203638921668649,1.2093798843993895,38021,898
0.6075542040361531,0.27458320802873193,0.9738055843171809,0.17822487904597595,0.699222376288449,200,3.826301838532631,1.670616560452071,6.237714168071922,1.182074692119975,37428,898
0.32020852965460256,-0.025729309004365316,0.6216660156579853,0.1733895197389882,0.6473953246623506,200,2.03925556245822,-0.07421584465518366,4.152379885814742,1.1392071657158986,36724,898
0.4529746835758236,0.0890254427839221,0.841409392824723,0.1897510127935847,0.7523839500408009,200,2.8791020693581415,0.5392632254217309,5.454576568433892,1.2452385191644881,36225,898
0.5918714587420321,0.2586028816012556,0.9503740090654369,0.18699203316527233,0.6917711274641813,200,3.8103728692454597,1.5875123022970783,6.112417803546067,1.234271433452889,37580,898
0.6783886658073496,0.3959564056480547,0.9649581699080754,0.15783813055064058,0.5690017642600207,200,4.559610349380472,2.449966519950655,6.634193130137131,1.0951649356604676,39152,898
0.6317466631708174,0.30927578977503534,0.9024128306276364,0.15921066792402352,0.5931370408526011,199,4.1096635482979815,2.051256660663147,5.9389175839454404,1.0651431028134475,40056,898
0.4116438300936992,0.010812831215675778,0.6861421741605046,0.17380909690387214,0.6753293429448288,200,2.6889449790605147,0.08318095658565758,4.54784278249202,1.1454517909155408,37649,898
0.5959756273287259,0.22740488702960665,0.9450042610427963,0.1843588718795552,0.7175993740131896,200,3.76023977884945,1.3671526494911708,6.051897537679645,1.2077714964668433,39035,898
0.5411216030759886,0.2637694066444718,0.8456817618698558,0.1580144615873766,0.581912355225384,200,3.5915392606166163,1.71777261024033,5.543982705240265,1.0581454803421446,38869,898
0.6006315339604601,0.29129182045612323,0.9316246587326372,0.17037855290421258,0.640332838276514,200,3.964621695949788,1.8967453115373984,6.308994675467683,1.1440919211203529,37728,898
0.5063175280960891,0.14968012227086602,0.8306649975203478,0.16345899452456125,0.6809848752494818,200,3.2654173176841605,1.0319470145505076,5.448443740119766,1.0899873014184207,37870,898
0.5010804681506492,0.1389698063515224,0.7927965116638103,0.17254789495147685,0.6538267053122879,200,3.2686488019206594,0.9627301204337675,5.093116866364139,1.1260461799617385,39372,898
0.5282816296418685,0.18257831892068976,0.8625046818487294,0.17923480402158032,0.6799263629280397,200,3.3516806106786867,1.17282094560791,5.6913625320944785,1.1901428613336567,37562,898
0.5794692916137095,0.19136236903537884,0.9089091172273952,0.19538240058247636,0.7175467481920164,200,3.7221006005398016,1.1792137551677873,5.967250093631446,1.2728698978841217,38693,898
0.6493728190463005,0.29530580103893866,1.038571717721052,0.18264044274203142,0.7432659166821134,200,4.333763631396714,1.8279227065948127,6.7767724358582315,1.2237749450141029,38363,898
0.4945167582704685,0.15302533221652317,0.786778556688697,0.1643126362042171,0.6337532244721739,200,3.1980395192222066,0.8910041966384099,5.147392864333314,1.1147617293988814,37659,898
0.49739414535220294,0.1600981684681946,0.8238702930801686,0.1693488597713806,0.663772124611974,200,3.2022942618904926,1.094048958814688,5.444557509455189,1.1228277217748803,37671,898
0.3990983527383024,0.05263549038136335,0.7431926085691166,0.18032550915154702,0.6905571181877532,200,2.50125240241158,0.35461411337474413,4.722496294709452,1.1739473021436655,39473,898
0.451621008821978,0.05970965508868415,0.7886159168162503,0.19881356022285188,0.7289062617275661,200,2.86972515012881,0.3353713821069643,5.343479600128838,1.3505147542867262,38368,898
0.6928530551796869,0.4020895831712623,1.0286646777534438,0.16299595326408567,0.6265750945821815,200,4.485774923407315,2.5063498524994356,6.694836715770016,1.0834072362557454,37410,898
0.6921050329606543,0.401513119370657,1.0041194568028595,0.16280303460153558,0.6026063374322026,200,4.61197204023116,2.4886100441087544,6.518743111162874,1.1094575722514421,39279,898
0.5140503841131511,0.20071674996707423,0.8196481303426085,0.16490997348606984,0.6189313803755343,200,3.3641069608009277,1.1890136174387185,5.2780306384963485,1.1133446797014661,38449,898
0.4402223158013968,0.09185016474423713,0.7444648237779646,0.17028013748189488,0.6526146590337275,200,2.799157185221246,0.5371369783439727,4.876323462868404,1.1203351133699715,38508,898
0.47510683819800226,0.09851376934836122,0.8733921870757517,0.18640168927133005,0.7748784177273905,200,3.0575433729470913,0.563044038783649,5.695140843110536,1.2404531105050336,38650,898
0.8669975429099082,0.5334480114500106,1.1774935424752893,0.1760102635490731,0.6440455310252786,200,5.599133536611999,3.4382899555550384,7.47530074503138,1.133133839396208,38084,898
0.5317880031013072,0.14538514829157662,0.8918289238322893,0.18674891433421056,0.7464437755407127,200,3.435117245365782,0.8849985883693772,5.883357294969197,1.2660246849564325,37933,898
0.3375423110125614,0.04023624018918065,0.6295909623882464,0.16629868666440498,0.5893547221990658,200,2.210459559402822,0.2856110713078725,4.269420418539331,1.0939851246129153,36751,898
0.7365869749929804,0.3542829282431714,1.0741746800415533,0.17196093926591782,0.7198917517983818,200,4.918004377361795,2.3136874832826435,7.107792746348966,1.1718144894790352,37754,898
0.47123994036427586,0.05232194089633908,0.8522105521365164,0.19155413767524188,0.7998886112401773,200,2.9616848130441187,0.33458014769664274,5.412029729611489,1.241777986114708,38554,898
0.6079374938461884,0.30261536753490303,0.9513077755633388,0.16507698664215237,0.6486924080284358,200,4.028973195146623,1.9326064206748519,6.406157174480666,1.1311061956908284,40426,898
0.7009644252710884,0.39805558559981474,1.0604735792471138,0.1729303834819719,0.6624179936472991,200,4.58924773342706,2.491899800310333,6.776329908081632,1.1335404749998226,37480,898
0.5881441832279116,0.2889909080353284,0.8792229108084011,0.15626881521103514,0.5902320027730728,200,3.791369289919355,1.893836597854918,5.911744211969417,1.0621639031172458,37020,898
0.5166858469004215,0.15197129447687974,0.8469112900649399,0.192459472506415,0.6949399955880602,200,3.2718393186226935,0.8790838264587933,5.622056297078395,1.2437165186843344,36749,898
0.5554873283675982,0.16138844982724998,0.9481244378104899,0.1990832422430206,0.78673598798324,200,3.588786111455211,0.9735325707316181,6.067548542643414,1.3012400561838167,37763,898
0.6361612990045334,0.3036455407136415,0.9689411763617081,0.17691985522129255,0.6652956356480666,200,4.0668547646253606,1.8443591069339722,6.10696513961566,1.134586683175663,37834,898
0.3768127607798649,0.027264271846701438,0.7715430272853521,0.190574053590147,0.7442787554386506,200,2.318237708408255,0.14177959436686371,5.014386157473587,1.2303018475653893,38125,898
0.4116438300936992,-0.00024062560103371448,0.6999961311465173,0.18473510534294257,0.7002367567475509,200,2.5302090821668566,0.0015273025380396058,4.7328708424482215,1.2209257050882878,38889,898
0.4879020914053339,0.13761029414406295,0.8047962918844083,0.17011575408638424,0.6671859977403454,199,3.1100562455449343,0.8334017532874588,5.260681823275145,1.1441485344772067,37539,898
0.5773713740114922,0.21899006656897202,0.8760958436222573,0.17639216232846333,0.6571057770532853,200,3.6979818780093043,1.3482265646973635,5.8881666125853585,1.180415845648625,38413,898
0.6041483482695836,0.221428174307432,0.9381668018417885,0.17569880185281597,0.7167386275343565,200,3.8663693045071446,1.4754738542263284,6.081159053770873,1.1590180056980488,38886,898
0.6299977240074689,0.3650888344868819,0.9707576191090957,0.15435517419341657,0.6056687846222139,200,4.154031220790532,2.2954415203764946,6.334048733679234,1.0448898734821486,37600,898
0.44316644231420177,-0.01233951868869515,0.8195783255529672,0.1998256233381831,0.8319178442416624,200,2.75558929539631,-0.030375456860630395,5.433313255685251,1.3212788412042213,38012,898
0.5478936459723299,0.23215031685007909,0.8333676052138714,0.1689952202390715,0.6012172883637923,200,3.553056284669931,1.4365319693204897,5.465683884111958,1.1350290119392232,38595,898
0.6919304539361287,0.3997493387480283,0.9840735096073484,0.15398235533313437,0.5843241708593201,200,4.598892192379179,2.593908391228127,6.612052471478634,1.062057216094397,37658,898
0.811168683946461,0.5330649176789393,1.1168912717915842,0.1515285113035661,0.5838263541126449,200,5.477692675615298,3.518375538261453,7.5171478433588454,1.0104759221773492,37838,898
0.47067570730737696,0.14337783066759036,0.8722449832184249,0.19103301192523744,0.7288671525508346,200,3.027797262048759,0.9444592500233523,5.7052523524430585,1.2335179096461957,38841,898
0.5521062576793073,0.12523758556082648,0.890113731308277,0.18231538567114375,0.7648761457474504,200,3.5264937232261984,0.7557206410452114,5.8948185320384745,1.1889225812953872,36252,898
0.5112208562528581,0.13628017126244035,0.8072355823299888,0.17123342858718124,0.6709554110675484,200,3.3497316442086644,0.921512311568922,5.3617394857356775,1.168983416751975,38652,898
0.48948647674368295,0.2031017802142132,0.8384763390294027,0.16413967079957947,0.6353745588151894,200,3.2016300976355105,1.2943468199958512,5.387739662923785,1.0997124376326355,36743,898
0.6214340398838941,0.29136141360135676,0.9447519443214344,0.16863419394831736,0.6533905307200776,200,4.041588286261644,1.844326287505412,6.190386913574653,1.1366801468139385,38967,898
0.6101679389229336,0.28036835360109286,0.8954872247003617,0.16064807810900233,0.6151188710992688,200,3.8992084505461766,1.807600022416039,5.667745132115595,1.0390540281597167,37720,898
