f,n_dates,sd_mc,se,obs,pred,cov
0.3,385,0.22600369703390089,0.28587806962513573,1.264926518358032,1.1952286093343936,0.99
0.5,642,0.14878796055959317,0.22431138098511402,1.507590937744401,1.414213562373095,1.0
0.7,898,0.1050201907979888,0.18760499520990212,1.7863707329457152,1.8257418583505536,1.0
0.9,1155,0.053438052329449925,0.16490892050581615,3.08598298997013,3.16227766016838,1.0
