seed,v2_mean,v2_absmax,v2_rmse,v1_absmax,v1_rmse,world,delta,cell,bias,n_leaked,max_other
0.0,-0.0014048698572427488,0.18175248409327455,0.07854099205457002,5.41191737242402,1.2070144948761072,N2,,,,,
1.0,0.021040572843715306,0.6391207981204887,0.16511326240957858,3.6801103803314072,0.8704821758319654,N2,,,,,
2.0,0.06127380915025483,0.6747245042525688,0.17128926514270312,2.9063351856867765,0.9914727162255105,N2,,,,,
3.0,0.014838911247823782,0.25134483922523543,0.09188555549469166,5.588986509303814,2.000275494356368,N2,,,,,
4.0,-0.02748609135637666,0.6330539522795412,0.17956912997033753,1.3890081560525132,0.5672827288680142,N2,,,,,
5.0,-0.006203241428743496,0.7311230639827131,0.13635547460210665,1.7608372312795448,0.7128410777389942,N2,,,,,
6.0,-0.03207014852112014,0.481925103918369,0.1498916615623373,4.206366611338416,1.43277342316689,N2,,,,,
7.0,0.007051635561201844,0.291995605020671,0.09796172448902762,3.8517055475358184,1.4250799903131788,N2,,,,,
8.0,-0.014055932156375683,0.3780583512943921,0.09994026378031294,4.373446862787872,1.1752259459260903,N2,,,,,
9.0,0.019525760676693215,0.2604693970157414,0.09042683188955232,3.242267528289885,0.9914772528710079,N2,,,,,
10.0,0.042282061343169725,0.22511434913503386,0.10948973309366265,4.417004826751965,1.3749107597955241,N2,,,,,
11.0,0.020265576448834536,0.7336646185026924,0.16359043017212466,3.626031647334462,1.1545674579197969,N2,,,,,
12.0,0.041046833585691014,0.5350384141253526,0.13147619189624926,1.674161263594495,0.5145175516173347,N2,,,,,
13.0,0.009149190297984477,0.28122789490955363,0.12457393112160815,2.3547794376256252,0.7355539529353656,N2,,,,,
14.0,-0.015331072615820734,0.33729343730588895,0.09045728861858032,0.6531718653125904,0.19049289123555643,N2,,,,,
15.0,-0.037258624031064384,1.212897644970664,0.21602178317807733,2.446425786641136,0.7051246536697773,N2,,,,,
16.0,0.022083597129326754,0.20625403130094927,0.07097487527680503,3.709299172194741,1.2900238027947009,N2,,,,,
17.0,0.003579936170166978,0.680997604225125,0.1462235062269653,4.452444152862101,1.1111456642608073,N2,,,,,
18.0,0.020367629201628327,0.2506223539034861,0.07889090369342244,1.0342691246409275,0.40195111777475157,N2,,,,,
19.0,-0.0022437060100352095,0.3006284578609612,0.1026919640474792,1.0599464925662059,0.31378903592045704,N2,,,,,
20.0,0.04487763543356404,0.3170631022470961,0.12030685073410825,7.097025304124737,2.818864208023198,N2,,,,,
21.0,0.019898430000939528,0.3381000246775165,0.12002288237146375,5.18596818469028,1.5434823293633835,N2,,,,,
22.0,0.05101630414184876,0.3363891707037381,0.13411675106105553,0.4403940423894501,0.16759793937380835,N2,,,,,
23.0,-0.01335441648901099,0.5550099009971412,0.17251750198607682,3.164930706720509,1.0006200685111533,N2,,,,,
24.0,0.02043956811774058,0.2247643127119342,0.10251572647601506,4.3983749607593285,0.8855791865789299,N2,,,,,
25.0,-0.04241270705658607,0.46162245623866793,0.12219113490601308,2.7392486539036875,0.8195214743220102,N2,,,,,
26.0,-0.021178188851449613,0.28304072092289845,0.08296640600004501,2.6014180917485112,0.9477073443830399,N2,,,,,
27.0,-0.019438782641466142,0.38567084431293674,0.09748381187556425,3.413887125759374,0.9900865342906576,N2,,,,,
28.0,-0.026117830551001607,0.5470187484860899,0.12727843832942592,4.428474706237617,1.2229058102848092,N2,,,,,
29.0,0.012377869468227099,0.5086772565056098,0.15299840502772824,3.7891182174368865,1.0950018513946975,N2,,,,,
30.0,0.06700648168930567,0.42862964367308387,0.14284791330497124,4.802537416582714,1.2289500197557772,N2,,,,,
31.0,0.033472504636062314,0.7478028725111078,0.17335958482787325,2.0319689531533194,0.7869199458593731,N2,,,,,
32.0,-0.0012322949013023768,0.22371500587894866,0.07825570562437437,1.699985214483748,0.6906476026953214,N2,,,,,
33.0,0.028289802609994256,0.3308424743345996,0.10730230143660964,1.9171891039592222,0.6194804700217575,N2,,,,,
34.0,-0.015839693862722132,0.6191530188638266,0.11644229346853208,2.4427004767208995,1.0328573665825418,N2,,,,,
35.0,-0.05931650317539387,0.4037318562553875,0.14794810728425498,5.246774489136119,1.3530742206412523,N2,,,,,
36.0,-0.05856279330965128,0.41298757031917444,0.12037587181905347,4.752163640108833,1.655077308522661,N2,,,,,
37.0,0.03787975609784724,0.41317543825982567,0.15419895800546854,1.8846506856148184,0.5674473133775042,N2,,,,,
38.0,-0.03839599462737818,0.45399515563372095,0.10858817223048649,1.4852211789484624,0.4995895706070531,N2,,,,,
39.0,-0.013876413487045934,0.20749927463894147,0.09214515668566603,4.253826875923307,1.1055843094708897,N2,,,,,
,,,,,,P1,0.6,adx1,0.0,28.0,0.5220209811513387
,,,,,,P1,0.6,rsi<35&rs,-2.220446049250313e-16,31.0,0.1256819019331745
,,,,,,P1,0.6,¬sig_rs_intact,-1.1102230246251565e-16,44.0,0.5999999999999996
,,,,,,P1,0.6,rsi<35&rs,-1.1102230246251565e-16,32.0,0.10865993131245083
,,,,,,P1,0.6,sig_rs_intact+sig_conso+sig_h1_dr,0.0,45.0,0.6
,,,,,,P1,0.6,sig_conso+sig_lead_in_lag+sig_h1_dr,1.1102230246251565e-16,38.0,0.4409085801776602
,,,,,,P1,1.5,adx-1,0.0,44.0,0.11338330054418129
,,,,,,P1,1.5,sig_rs_intact+sig_macro_vix_up,0.0,44.0,1.43635333306943
,,,,,,P1,1.5,adx3&rs,2.220446049250313e-16,43.0,0.6524416695140024
,,,,,,P1,1.5,sig_conso,2.220446049250313e-16,45.0,1.5000000000000002
,,,,,,P1,1.5,sig_rs_intact+sig_h1_dr,-2.220446049250313e-16,45.0,1.5
,,,,,,P1,1.5,sig_lead_in_lag+sig_h1_dr,0.0,42.0,1.5
,,,,,,P1,3.0,rsi50-65,-4.440892098500626e-16,41.0,2.673330464430493
,,,,,,P1,3.0,sig_lead_in_lag+sig_macro_vix_up,4.440892098500626e-16,41.0,1.0165771087637914
,,,,,,P1,3.0,sig_h1_dr,4.440892098500626e-16,44.0,3.0000000000000004
,,,,,,P1,3.0,sig_conso,-4.440892098500626e-16,45.0,3.0
,,,,,,P1,3.0,sig_rs_intact,-4.440892098500626e-16,45.0,3.0
,,,,,,P1,3.0,sig_conso,-4.440892098500626e-16,45.0,3.0000000000000004
,,,,,,P1,6.0,sig_h1_dr,8.881784197001252e-16,45.0,6.000000000000001
,,,,,,P1,6.0,adx3&rs,0.0,45.0,2.5172689732762397
,,,,,,P1,6.0,sig_macro_vix_up,0.0,45.0,5.999999999999999
,,,,,,P1,6.0,adx1,0.0,45.0,5.327238766302435
,,,,,,P1,6.0,sig_conso&rs,0.0,45.0,6.0
,,,,,,P1,6.0,sig_rs_intact+sig_conso,8.881784197001252e-16,45.0,6.000000000000001
