ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AXON,🏦majority,0.506,7.442,-0.659,0.042,-0.117,0.056,-0.142,0.483,0.194,-2.291
AXP,🏦majority,0.398,4.145,-0.099,0.037,-0.052,0.017,0.155,0.135,0.166,-3.093
AZO,🏦majority,0.327,3.549,0.176,-0.046,-0.147,0.02,-0.025,-0.553,-0.171,-0.972
BA,🏦majority,0.15,5.276,-0.447,-0.15,0.109,-0.11,-0.252,0.295,-0.078,-0.673
BABA,🏦majority,-0.652,7.154,-0.16,-0.003,0.042,0.082,-0.173,-0.219,0.416,-3.75
BAC,🏦majority,0.446,4.033,-0.388,-0.066,0.059,-0.031,-0.233,-0.168,0.475,0.251
BALL,🏦majority,0.327,4.262,-0.091,-0.01,0.079,-0.04,0.002,0.13,0.539,0.197
BAX,🏦majority,-0.054,4.805,-0.123,0.054,0.14,-0.043,0.054,0.108,0.482,-2.437
BBY,🏦majority,-0.17,5.218,0.463,-0.132,-0.162,-0.037,0.334,-0.048,-0.275,-2.085
BDX,🏦majority,0.055,3.298,0.113,0.113,-0.026,-0.037,0.106,0.097,0.283,-0.382
BEN,🏦majority,0.039,4.358,0.113,0.037,-0.239,-0.161,0.046,0.019,0.216,-2.756
BG,🏦majority,0.191,4.188,0.172,-0.012,-0.024,-0.07,-0.055,0.194,-0.185,0.166
BIDU,🏦majority,-0.485,7.014,-0.033,0.08,0.284,0.192,0.099,0.105,1.789,-2.4
BIIB,🏦majority,-0.141,4.468,-0.027,0.106,0.048,-0.191,0.137,-0.237,0.406,-2.177
BILI,🏦majority,-0.718,10.701,0.741,0.21,-0.119,-0.308,0.509,0.07,0.902,-8.423
BILL,🏦majority,0.0,9.638,-0.02,0.201,-0.19,-0.127,-0.121,-0.148,0.498,-3.939
BIO,🏦majority,-0.057,5.227,0.396,0.029,0.016,-0.108,0.134,0.257,-0.298,-3.996
BKNG,🏦majority,0.55,4.617,0.046,0.096,-0.141,-0.051,0.07,-0.339,-0.259,-2.51
BKR,🏦majority,0.582,5.081,0.383,0.132,0.053,-0.011,0.333,-0.142,-0.279,-1.574
BLDR,🏦majority,0.343,6.335,-0.38,-0.263,0.165,0.163,-0.112,-0.036,-0.744,-0.262
BLK,🏦majority,0.254,3.857,-0.359,0.028,0.125,-0.15,-0.093,0.008,-0.007,-0.216
BMY,🏦majority,0.048,3.381,0.05,0.004,0.067,-0.171,0.054,-0.048,-0.133,-2.348
BR,🏦majority,0.105,3.275,-0.026,-0.075,0.058,-0.015,-0.232,0.031,-0.069,-1.471
BRO,🏦majority,0.479,3.454,-0.044,0.074,-0.016,-0.156,0.051,-0.251,0.154,-1.052
BRZE,🏦majority,0.0,9.149,0.024,-0.198,-0.405,0.065,-0.543,0.581,-0.333,-1.911
BSX,🏦majority,0.283,3.585,0.048,0.147,-0.05,-0.019,0.05,0.095,0.22,-1.628
BWA,🏦majority,0.194,4.716,0.274,0.129,0.066,0.012,0.338,0.145,0.321,-2.203
BX,🏦majority,0.267,5.574,-0.274,0.143,0.04,0.038,0.033,-0.244,0.444,-0.972
BXP,🏦majority,-0.14,4.513,0.823,0.079,-0.178,0.054,0.352,0.226,-0.322,-2.053
C,🏦majority,0.342,4.224,-0.41,-0.073,-0.049,0.111,-0.313,-0.145,0.319,-2.773
CAG,🏦majority,-0.251,3.166,0.35,-0.025,-0.16,-0.151,0.133,-0.356,-0.414,-1.188
CAH,🏦majority,0.422,3.669,0.26,-0.067,0.017,-0.074,-0.024,-0.145,-0.532,0.332
CARR,🏦majority,0.118,4.487,-0.213,0.104,0.086,-0.072,0.182,-0.137,-0.117,-1.281
CASY,🏦majority,0.374,3.685,0.299,0.135,-0.09,0.022,0.417,0.046,-0.249,-0.348
CAT,🏦majority,0.505,4.519,0.265,-0.16,0.133,-0.085,-0.042,-0.3,0.008,-2.15
CB,🏦majority,0.333,2.682,0.418,-0.095,0.001,-0.11,0.237,0.018,0.127,-1.827
CBOE,🏦majority,0.496,3.315,0.538,0.162,-0.049,-0.014,0.313,0.004,-0.013,-1.308
CBRE,🏦majority,0.531,4.272,-0.143,0.144,-0.025,0.036,-0.053,-0.026,0.29,-2.223
CCI,🏦majority,-0.355,3.851,-0.26,0.041,0.067,0.074,-0.262,0.211,-0.489,-0.684
