seq,n_is,med_is,win_is,beats_band,n_oos,med_oos,win_oos
T5>T2>>T1G,79,3.447663064826184,0.569620253164557,False,63,4.587552109800802,0.5714285714285714
T1>T10>>T1G,112,1.9047741134020246,0.5446428571428571,False,48,3.478721767365006,0.5833333333333334
T3>T10>>T1G,59,1.3424980949628131,0.5254237288135594,False,22,-4.622291438798232,0.45454545454545453
T2G>T12>>T1G,71,1.306394496726765,0.5352112676056338,False,25,-0.6792085621715791,0.48
T4>T2>>T1G,225,0.8799934713314586,0.5377777777777778,False,106,3.3805579917233817,0.6037735849056604
T6>>>T1G,297,0.8110180198957209,0.531986531986532,False,124,3.6028607807587707,0.6290322580645161
T2>T10>>T1G,103,0.7946315096147019,0.5048543689320388,False,63,0.13230667374233854,0.5079365079365079
T1>T2>>T1G,226,0.7534974241293182,0.5176991150442478,False,152,0.3899031763458795,0.506578947368421
T9>>>T1G,762,0.7511866547465997,0.5170603674540682,False,322,0.7368893893912989,0.5217391304347826
T2G>T2G>>T1G,997,0.6964279789065277,0.5195586760280843,False,414,2.204788684587172,0.5603864734299517
T5>T2G>>T1G,287,0.4967773703124458,0.519163763066202,False,119,0.4640880148262529,0.5126050420168067
>T1>>T1G,1522,0.4317487234176633,0.5085413929040736,False,696,2.623528061553498,0.5632183908045977
T2G>T2>>T1G,473,0.3349092979353875,0.5158562367864693,False,225,2.2364203694458293,0.5511111111111111
T3>>>T1G,730,0.3323361216112376,0.5054794520547945,False,338,3.061614150770403,0.5650887573964497
T2>T2>>T1G,308,0.2577222067928377,0.5032467532467533,False,168,2.6326741924910744,0.5952380952380952
>T5>>T1G,1132,0.1877475497218785,0.5035335689045937,False,604,3.502679866267094,0.5794701986754967
T2G>>>T1G,1788,0.1857948251949683,0.5033557046979866,False,943,0.6450439931500465,0.5227995758218452
>>>T1G,7860,0.1508770685036688,0.5026717557251908,False,3657,0.8496900275066834,0.5258408531583265
T2>T6>>T1G,52,0.11403388282042473,0.5384615384615384,False,24,3.3374803272343154,0.625
>T4>>T1G,1240,0.09850671821239344,0.5032258064516129,False,652,5.613564587208591,0.6088957055214724
T5>>>T1G,632,0.043471328629046804,0.5,False,283,2.924683401350375,0.5865724381625441
>T9>>T1G,1460,-0.00019481950677678085,0.5,False,682,0.9534649454877422,0.5205278592375366
T2G>T10>>T1G,138,-0.11086951970541979,0.5,False,71,-0.37206073129689143,0.49295774647887325
T4>T2G>>T1G,316,-0.18280110109116776,0.49683544303797467,False,145,1.4434482360908443,0.5379310344827586
T1>>>T1G,787,-0.2649843179481636,0.49174078780177893,False,402,2.322138397271861,0.5671641791044776
T1>T2G>>T1G,367,-0.40656702112607507,0.4822888283378747,False,187,2.4744440588953696,0.5775401069518716
T1G>>>T1G,57,-0.653037168597209,0.47368421052631576,False,41,1.7234914268425439,0.6097560975609756
>T3>>T1G,1306,-0.6901437355351423,0.48238897396630936,False,647,3.3600735351156317,0.5935085007727975
T2>>>T1G,920,-0.6916157519146591,0.4771739130434783,False,564,1.2030745150669877,0.549645390070922
T3>T2G>>T1G,324,-0.7029839683699133,0.49074074074074076,False,148,1.2378114902568296,0.5472972972972973
T9>T2G>>T1G,371,-0.9943855955197698,0.46630727762803237,False,173,2.545851775902258,0.5895953757225434
T5>T12>>T1G,46,-1.130354421902585,0.45652173913043476,False,22,2.018489049231803,0.5454545454545454
T5>T6>>T1G,87,-1.1419716565252367,0.45977011494252873,False,53,5.332521015847519,0.6415094339622641
T4>>>T1G,661,-1.2254727342711766,0.47806354009077157,False,351,4.30022121989429,0.6096866096866097
T11>T2G>>T1G,58,-1.249614480307054,0.46551724137931033,False,25,1.520575936982277,0.56
T9>T2>>T1G,173,-1.293035377853363,0.48554913294797686,False,84,2.3104887550378814,0.5595238095238095
T6>T2>>T1G,87,-1.4430525869626507,0.4482758620689655,False,64,2.3616213192483912,0.59375
T2G>T6>>T1G,126,-1.59570146534056,0.47619047619047616,False,48,-2.5053922361534973,0.4375
T2>T2G>>T1G,467,-1.6191291289798293,0.4539614561027837,False,228,0.45502069824246444,0.5175438596491229
T12>T2G>>T1G,78,-1.7093267562223957,0.38461538461538464,False,37,1.6145571005554749,0.5405405405405406
>T1G>>T1G,102,-1.7951649157267044,0.45098039215686275,False,60,5.945177135616724,0.6166666666666667
T4>T10>>T1G,60,-1.9683125108442612,0.4666666666666667,False,35,4.702430092724979,0.6285714285714286
T3>T2>>T1G,158,-2.550592921462247,0.4177215189873418,False,83,1.2178974887889829,0.5180722891566265
T9>T6>>T1G,75,-2.8123159389527084,0.44,False,47,1.6248883487663124,0.5319148936170213
T10>T2G>>T1G,127,-2.8380663460767455,0.44881889763779526,False,66,0.436488737555968,0.5151515151515151
T10>>>T1G,290,-3.005055736794404,0.4586206896551724,False,169,1.7677689008509134,0.5798816568047337
T12>>>T1G,152,-3.2611040964135696,0.4276315789473684,False,83,3.6758573915803003,0.5542168674698795
T6>T2G>>T1G,142,-3.815910871874084,0.4295774647887324,False,65,0.817596224710543,0.5384615384615384
T10>T6>>T1G,58,-4.026128337162044,0.41379310344827586,False,28,-6.494648471704295,0.39285714285714285
T2G>T11>>T1G,42,-4.055604780155026,0.42857142857142855,False,23,5.853052674748188,0.6086956521739131
T11>>>T1G,124,-4.224446266502291,0.3951612903225806,False,58,5.909420358170985,0.6896551724137931
>T2G>>T1G,93,-6.74029249719727,0.34408602150537637,False,19,6.807002219091279,0.631578947368421
