delta,planted,rep,world,band,known,rank,rank_le_3,rank_le_5,screen,final,regret,n_screen,freeze_commit
0.0,rsi<35&conso,0,1787191236,0.32870809986430843,False,3,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx1,3,486140655,0.26983292620212124,False,9,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&rs,1,1745695660,0.37599251130488714,False,28,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx0,0,1787191236,0.33376301271554526,False,23,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_rs_intact,0,1787191236,0.3531138151962464,False,25,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_h1_dr,2,2112876186,0.23559525013177365,False,22,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65,3,486140655,0.2819695988205139,False,25,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx3,0,1787191236,0.3467083600359602,False,18,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35&rs,3,486140655,0.274494204968947,False,10,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx3,2,2112876186,0.23232453704355963,False,17,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_h1_dr,4,1628033617,0.36670978686964684,False,11,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx3&rs,4,1628033617,0.37549882149553004,False,17,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
