ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AMPH,🎰lottery,0.685,9.297,-0.545,-0.41,0.673,-0.807,-0.11,1.246,1.483,-22.113
AMPL,⚡panic,-1.053,12.476,2.224,-0.363,1.477,-0.795,0.197,,4.507,
AMSC,🎲chase,1.737,18.291,0.34,-1.48,-1.167,0.775,-9.277,1.479,1.132,
AMSF,🏦majority,-0.684,5.264,1.543,0.446,-0.107,-1.202,1.516,,-2.373,
AMT,🏦majority,0.122,5.322,1.405,-0.745,-0.213,-0.578,0.23,0.884,1.38,
AMWD,🏦majority,-0.287,8.451,-0.536,0.99,0.578,0.066,1.097,0.591,-2.271,
AMZN,🏦majority,0.749,6.891,2.855,-0.091,0.976,-0.402,2.777,0.353,-1.351,
ANAB,🏦majority,1.002,13.04,3.344,0.369,0.123,-0.041,2.733,-1.803,4.803,
ANDE,🏦majority,1.113,7.555,2.919,0.449,-0.375,-0.641,2.096,,-0.553,-2.526
ANGI,⚡panic,-2.873,15.422,1.257,-1.391,-0.481,-4.067,1.013,,,
ANGO,🏦majority,0.15,11.637,1.457,0.239,2.603,0.657,1.465,-1.547,-1.468,
ANIP,🎰lottery,0.543,10.121,3.253,0.563,0.016,-0.775,2.389,0.425,0.471,-12.38
AON,🏦majority,0.724,4.4,1.826,-0.038,-0.433,-0.837,0.678,-0.428,-0.228,-6.127
AOS,🏦majority,-0.138,5.266,0.0,0.308,0.789,-0.828,-0.187,-1.011,0.247,
AOSL,⚡panic,0.634,14.272,3.391,-0.353,-0.776,0.733,1.25,1.31,3.493,
APA,🏦majority,0.374,9.134,3.621,-0.844,-1.537,-0.266,1.513,-0.549,-1.246,
APD,🏦majority,-0.003,5.188,0.02,0.204,0.388,0.362,0.778,0.27,-0.177,-5.531
APH,🏦majority,1.466,5.838,0.645,-0.61,0.011,0.014,0.51,1.589,0.11,-5.172
APOG,🏦majority,0.117,6.97,-0.738,0.934,1.535,-0.4,-0.595,-0.483,-2.637,
APP,🎲chase,2.256,15.344,-0.353,-2.745,0.307,1.063,2.377,3.114,-0.973,-6.508
APPF,🏦majority,0.63,7.956,2.068,1.042,-1.547,-0.221,3.855,-0.25,1.487,
APPN,⚡panic,-1.425,10.936,2.773,0.427,-0.22,-1.736,0.31,1.821,2.435,
APPS,🎲chase,-2.285,16.478,0.048,-0.924,3.368,1.173,-0.454,,,
APTV,🏦majority,-0.682,8.113,1.878,-0.413,-0.673,0.247,1.502,-1.543,-1.031,
ARCB,🏦majority,0.436,9.938,2.171,0.309,0.822,-0.529,1.014,0.257,-2.682,
ARCC,🏦majority,0.392,3.592,1.779,0.588,-0.128,0.337,1.192,-0.59,0.588,
ARCT,⚡panic,-1.32,17.661,2.596,-0.012,-1.982,-0.904,6.358,3.7,9.583,-11.485
ARE,🏦majority,-0.431,6.724,0.47,-0.153,0.921,-0.539,0.42,2.21,-3.039,
ARHS,⚡panic,0.43,13.791,1.874,-1.457,1.819,0.641,5.561,-0.849,5.067,
ARLP,🏦majority,1.105,6.706,2.179,-0.381,0.298,0.318,-0.538,2.089,-2.282,-1.005
ARQT,⚡panic,0.209,14.187,4.809,1.445,0.455,0.0,-0.53,1.359,-5.021,-3.467
ARRY,⚡panic,-1.44,15.919,3.272,0.615,0.325,-1.109,3.171,-1.182,-4.502,
ARVN,⚡panic,-1.099,13.691,0.032,0.399,0.226,0.174,1.439,0.844,0.271,
ARWR,⚡panic,-0.211,12.83,4.204,-0.472,-1.98,-1.579,4.093,0.495,0.884,
ASAN,🎲chase,-0.809,15.503,1.574,0.032,-0.035,1.238,-0.475,3.457,0.475,
ASND,⚡panic,0.019,9.088,10.889,1.138,0.538,-2.47,5.827,-0.255,,
ASO,🏦majority,0.246,8.257,2.217,-1.417,-1.109,-1.437,0.268,-3.79,3.147,
ASTE,🏦majority,-0.033,9.692,-1.401,2.125,1.37,-0.848,-0.036,-0.637,-2.65,
ASTL,🏦majority,-0.733,9.686,0.217,0.204,-1.851,1.645,0.307,,,
ASTS,⚡panic,0.282,21.01,2.821,-0.129,-4.915,3.255,1.861,-3.378,-10.515,
ATEC,🏦majority,0.188,12.463,0.995,-0.632,0.178,-0.708,0.065,-3.878,-0.114,
ATEX,🏦majority,-0.493,11.216,-1.504,0.637,-2.454,0.31,-1.165,-1.504,,
ATO,🏦majority,0.601,3.492,1.144,0.252,0.103,-0.286,1.948,-0.212,-1.58,-2.314
ATRC,🏦majority,-0.323,8.849,-1.306,-0.16,0.0,-0.719,0.068,1.463,3.026,
AUPH,⚡panic,0.549,12.872,1.527,-0.187,-0.187,-2.664,4.94,-2.039,1.304,
AVAV,🎰lottery,0.546,11.788,0.226,0.788,-0.845,0.098,0.404,0.485,-0.176,-21.696
AVB,🏦majority,0.339,4.002,1.589,-0.025,-0.317,-0.445,1.377,-1.76,-1.819,-4.052
AVGO,🏦majority,1.558,8.261,4.622,0.573,0.858,0.17,1.159,-1.925,0.227,-6.801
AVPT,🏦majority,0.467,8.876,0.472,-0.567,-0.405,0.157,1.837,,-1.242,
AVT,🏦majority,0.518,5.863,1.703,0.375,0.865,-0.155,2.316,0.706,-0.32,
AVXL,⚡panic,-1.914,15.314,-6.069,0.655,-0.482,-2.315,3.703,,0.176,
AVY,🏦majority,-0.163,4.439,1.748,0.458,-0.647,-0.261,1.357,-0.163,-1.656,
AWK,🏦majority,0.0,4.437,-0.003,0.354,-0.466,-0.226,0.45,-0.359,0.177,-2.666
AXON,⚡panic,1.135,10.505,3.072,0.011,-2.693,-1.001,2.595,1.748,0.612,-4.659
AXP,🏦majority,0.646,5.669,0.762,-0.016,1.27,-0.481,0.09,-1.204,0.219,
AXSM,⚡panic,1.094,13.737,4.752,0.062,0.962,-0.466,2.391,5.753,-1.854,-5.653
AZO,🏦majority,0.791,4.769,1.863,0.748,-0.269,0.126,1.128,-1.764,1.057,-1.923
AZTA,🏦majority,-0.652,10.13,-2.876,1.305,-1.086,-1.664,-0.608,,2.938,
BA,🏦majority,-0.088,7.322,2.084,-0.481,-0.07,0.933,0.048,-1.649,-0.991,-7.081
BABA,⚡panic,-1.317,10.295,2.948,-0.366,-1.318,-1.807,1.029,,0.819,
BAC,🏦majority,0.781,5.717,-0.091,0.974,0.226,-0.406,0.379,-0.066,-0.555,-2.157
BALL,🏦majority,0.391,5.924,1.43,-1.37,-0.407,-0.062,0.394,,1.426,
BAND,🎰lottery,-0.807,17.214,0.228,-1.318,3.542,-2.111,-3.203,,10.224,-16.95
BANF,🏦majority,0.238,5.735,-0.105,0.096,1.029,0.133,0.445,-1.127,1.291,
BANR,🏦majority,0.322,5.613,1.109,0.274,0.081,-0.478,1.789,1.185,0.556,
BATRK,🏦majority,0.091,4.87,-0.504,0.63,1.077,0.241,2.644,-2.4,0.709,
BAX,🏦majority,-0.338,6.346,0.646,-0.654,0.583,-0.521,0.338,-0.236,-2.756,
BBIO,🏦majority,0.612,13.971,-0.423,0.215,-2.581,0.786,0.522,-2.683,,
BBSI,🏦majority,1.191,6.755,-2.166,1.093,0.284,-0.319,,,0.283,
BBY,🏦majority,-0.215,6.92,1.142,-0.374,0.774,0.577,2.112,-1.268,1.747,
BCPC,🏦majority,-0.032,4.694,1.316,0.486,1.199,-0.405,1.323,1.563,2.858,-6.331
BCRX,⚡panic,-0.803,10.191,1.378,0.686,-1.879,-0.816,1.28,-0.927,-2.273,
BDX,🏦majority,0.185,4.23,0.566,0.175,-0.446,-1.023,1.026,-1.421,-1.253,
BEAM,⚡panic,-1.468,13.596,4.094,0.078,-1.169,0.218,1.566,7.34,-2.477,
BELFB,🏦majority,3.587,12.099,2.782,-0.174,1.225,0.13,,-1.775,0.76,-2.112
BHF,🏦majority,0.248,7.838,2.7,1.013,1.541,-0.423,2.565,0.526,2.762,-3.054
BIDU,🎰lottery,-0.729,9.739,3.12,0.369,-0.658,0.386,2.086,,-1.136,-13.498
BIIB,🏦majority,-0.583,6.856,0.514,-0.339,0.141,-0.87,0.119,,-1.227,
BILI,🎰lottery,-1.496,14.506,2.582,-0.45,2.261,-0.389,0.863,,-1.696,-16.093
BILL,⚡panic,-0.25,13.333,3.486,-0.299,-2.451,-1.242,1.565,,-1.871,-1.234
BIO,🏦majority,0.153,6.927,0.43,0.068,-0.535,-0.864,0.822,-3.201,-0.279,-2.12
BJRI,🏦majority,0.703,8.649,-0.339,0.741,-1.39,-0.379,-0.563,1.949,6.776,-8.318
BKNG,🏦majority,0.832,6.397,-0.018,0.281,0.398,-0.376,0.818,-0.504,1.729,
BKR,🏦majority,0.813,6.865,0.886,0.135,-0.234,-0.871,2.804,-0.133,-1.829,
BL,🏦majority,-0.403,8.102,2.265,-0.311,0.954,1.119,2.471,-5.901,-2.835,
BLBD,⚡panic,1.109,13.659,4.778,0.108,-2.929,-1.2,,-1.404,0.829,
BLDR,🎲chase,1.201,8.812,0.092,-2.126,-0.802,-0.731,-1.03,2.385,1.089,
BLFS,🎰lottery,0.252,12.073,2.07,-0.012,-2.399,0.366,1.721,-3.837,0.181,-14.77
BLK,🏦majority,0.257,5.407,0.218,-0.114,0.773,-0.753,1.024,-1.471,-0.22,-2.063
BLKB,🏦majority,-0.434,7.002,0.001,-0.252,1.477,-0.887,-0.024,-1.658,0.203,
BLMN,⚡panic,-0.891,9.421,-0.151,1.306,-1.474,-1.393,0.244,-0.546,-1.331,
BMBL,⚡panic,-1.933,12.037,2.512,-0.326,1.472,-0.499,5.772,2.086,,
BMRN,🏦majority,-0.052,5.964,1.832,0.016,-0.453,-0.519,2.354,-1.177,0.609,
BMY,🏦majority,0.02,4.623,-0.378,0.012,-0.347,-0.746,0.3,0.255,-0.684,
BOKF,🏦majority,0.314,5.538,-0.27,0.732,0.358,0.267,-0.065,-1.207,-0.046,-0.229
