band,n_clears,n_promoted,n_final,gen,evaluated,ineligible,uncomputable,coverage,design_hash,shift
2.721146993197242,0,0,0,G1,,,,,,
2.7564679449934304,0,0,0,G1,,,,,,
2.7268311189585726,0,0,0,G1,,,,,,
2.7183079281116216,0,0,0,G1,,,,,,
2.7784185408671136,0,0,0,G1,,,,,,
2.821143160436339,0,0,0,G1,,,,,,
2.8431945171460327,0,0,0,G1,,,,,,
2.79943742779208,0,0,0,G1,,,,,,
2.7636197357312073,0,0,0,G1,,,,,,
2.7307253619838963,0,0,0,G1,,,,,,
2.808782531571111,0,0,0,G1,,,,,,
2.760249293618205,0,0,0,G1,,,,,,
2.805722765895547,0,0,0,G1,,,,,,
2.747133088108356,0,0,0,G1,,,,,,
2.7336577784636584,0,0,0,G1,,,,,,
2.7585830551408006,0,0,0,G1,,,,,,
2.773033320811173,1,1,1,G1,,,,,,
2.8261401597750084,0,0,0,G1,,,,,,
2.7891082271471084,0,0,0,G1,,,,,,
2.732588681357021,0,0,0,G1,,,,,,
2.7244631095946583,0,0,0,G1,,,,,,
2.77545776592618,0,0,0,G1,,,,,,
2.7706554077812986,0,0,0,G1,,,,,,
2.795387501431195,0,0,0,G1,,,,,,
2.758870252649166,0,0,0,G1,,,,,,
2.6970065599052333,0,0,0,G1,,,,,,
2.7588693920748066,0,0,0,G1,,,,,,
2.759973141715489,0,0,0,G1,,,,,,
2.8051795011773604,0,0,0,G1,,,,,,
2.731001671333222,0,0,0,G1,,,,,,
2.753066127549637,0,0,0,G1,,,,,,
2.8120600605543222,0,0,0,G1,,,,,,
2.781094465516763,0,0,0,G1,,,,,,
2.8033506611078463,1,1,1,G1,,,,,,
2.732527367901678,0,0,0,G1,,,,,,
2.7254171276083263,1,1,1,G1,,,,,,
2.7861886146087693,0,0,0,G1,,,,,,
2.7281367654446926,0,0,0,G1,,,,,,
2.7219401347718746,0,0,0,G1,,,,,,
2.8134045274461026,1,1,1,G1,,,,,,
2.7337339645894603,1,1,1,G1,,,,,,
2.7691836766495213,0,0,0,G1,,,,,,
2.810926101877914,0,0,0,G1,,,,,,
2.811166798296942,0,0,0,G1,,,,,,
2.7518889645569806,0,0,0,G1,,,,,,
2.7705051706948307,0,0,0,G1,,,,,,
2.756549900777646,0,0,0,G1,,,,,,
2.7539690039963487,0,0,0,G1,,,,,,
2.74406502554573,0,0,0,G1,,,,,,
2.7386051358435504,0,0,0,G1,,,,,,
2.738317009487172,0,0,0,G1,,,,,,
2.783049324124798,1,1,1,G1,,,,,,
2.8263959008236847,0,0,0,G1,,,,,,
2.7817623435965193,0,0,0,G1,,,,,,
2.7809602986841266,0,0,0,G1,,,,,,
2.7398905808395244,0,0,0,G1,,,,,,
2.73386609305878,0,0,0,G1,,,,,,
2.676839608326582,0,0,0,G1,,,,,,
2.8259657146730777,0,0,0,G1,,,,,,
2.7740193324370948,0,0,0,G1,,,,,,
2.7897135435337943,0,0,0,G1,,,,,,
2.776105600707543,0,0,0,G1,,,,,,
2.721362978666516,0,0,0,G1,,,,,,
2.7383994646844525,0,0,0,G1,,,,,,
2.7059600763204505,0,0,0,G1,,,,,,
2.7062227950033813,0,0,0,G1,,,,,,
2.7449028317228206,0,0,0,G1,,,,,,
2.752317911835071,0,0,0,G1,,,,,,
2.7862329212904315,0,0,0,G1,,,,,,
2.751686557555273,0,0,0,G1,,,,,,
2.7564208114143476,0,0,0,G1,,,,,,
2.7353962793818445,0,0,0,G1,,,,,,
2.816151505726827,0,0,0,G1,,,,,,
2.7640668866974583,0,0,0,G1,,,,,,
2.752111558458621,0,0,0,G1,,,,,,
2.6667078047563537,0,0,0,G1,,,,,,
2.801721814494296,0,0,0,G1,,,,,,
2.7750672431349095,0,0,0,G1,,,,,,
2.7868275599099195,0,0,0,G1,,,,,,
2.694258043119957,0,0,0,G1,,,,,,
2.8007624644259876,0,0,0,G1,,,,,,
2.724983839991348,0,0,0,G1,,,,,,
2.7697667796265946,0,0,0,G1,,,,,,
2.7669069846888523,0,0,0,G1,,,,,,
2.7354031640037575,0,0,0,G1,,,,,,
2.736127264096215,0,0,0,G1,,,,,,
2.7467950247221213,0,0,0,G1,,,,,,
2.703166613732355,0,0,0,G1,,,,,,
2.725637179319576,0,0,0,G1,,,,,,
2.7409841578113303,0,0,0,G1,,,,,,
2.7432014630162262,0,0,0,G1,,,,,,
2.7162633155792535,0,0,0,G1,,,,,,
2.896186763350138,0,0,0,G1,,,,,,
2.75288199582926,0,0,0,G1,,,,,,
2.740217418784604,0,0,0,G1,,,,,,
2.732519708554687,0,0,0,G1,,,,,,
2.84928963437286,0,0,0,G1,,,,,,
2.7556363078981834,1,1,1,G1,,,,,,
2.7727608814578804,0,0,0,G1,,,,,,
2.7959189345867737,0,0,0,G1,,,,,,
2.828547440601103,0,0,0,G1,,,,,,
2.787554639186566,0,0,0,G1,,,,,,
2.7582013188872674,0,0,0,G1,,,,,,
2.8444172506713885,0,0,0,G1,,,,,,
2.8113132764037165,0,0,0,G1,,,,,,
2.753096735538833,0,0,0,G1,,,,,,
2.7686638335150313,0,0,0,G1,,,,,,
2.7969323026751653,0,0,0,G1,,,,,,
2.7206961331210016,0,0,0,G1,,,,,,
2.809376010825692,0,0,0,G1,,,,,,
2.7584965139424775,0,0,0,G1,,,,,,
2.7430175264161076,0,0,0,G1,,,,,,
2.6527548122846913,0,0,0,G1,,,,,,
2.730777179048765,0,0,0,G1,,,,,,
2.7610086697546348,0,0,0,G1,,,,,,
2.6674840992185462,0,0,0,G1,,,,,,
2.8083564276736586,0,0,0,G1,,,,,,
2.753310075504403,0,0,0,G1,,,,,,
2.715154828728448,0,0,0,G1,,,,,,
2.7415092866561404,1,1,1,G1,,,,,,
2.8130539952067255,0,0,0,G1,,,,,,
2.8560839130625797,0,0,0,G1,,,,,,
2.7987696866540337,0,0,0,G1,,,,,,
2.7600433820855548,0,0,0,G1,,,,,,
2.7619175592124914,0,0,0,G1,,,,,,
2.709516790607735,0,0,0,G1,,,,,,
2.7940564335062685,0,0,0,G1,,,,,,
2.800786737473219,0,0,0,G1,,,,,,
2.712313534472061,0,0,0,G1,,,,,,
2.7323887641605427,0,0,0,G1,,,,,,
2.7482130586098403,0,0,0,G1,,,,,,
