k,n_rows,shift,null_mean,null_p95
1,643,-0.046025892929235646,0.0020242390574311264,0.006679869537948274
5,2018,-0.032743893092446186,0.007115994394359837,0.02302849437646914
10,3172,-0.15100160630355797,0.010831047917134073,0.031428730947097853
25,6335,-0.23533908779742596,0.017020927348572107,0.04630097795599308
