label,n,mean,lo,hi,worst,yrs
"BASELINE (tier,median) · hold 20",570,1.7014069496725457,-0.011425231672259733,3.6882091582632266,-0.4782430050097621,4
  state · hold 20,570,0.33318384201776463,-1.361938018557052,2.2379296607840318,-1.5603094806563325,4
"BASELINE (tier,median) · hold 30",380,1.9979395462953682,-0.6634870724979249,4.4206256220901485,1.596573582792189,5
  state · hold 30,380,-0.9017521846353224,-4.441564960503264,2.3841792035014615,-3.5714097641175613,1
"BASELINE (tier,median) · hold 45",260,2.495073346564403,-0.9542618253125021,6.033187724757367,-1.5106741424339514,4
  state · hold 45,260,1.9651536297841141,-2.706784854213206,6.523116064759401,-1.4570929187660415,3
"BASELINE (tier,median) · hold 60",200,2.4712048284127377,-0.6172541028936394,5.34006432723254,-0.9902739562094212,4
  state · hold 60,200,0.9086360852234066,-5.043422718648799,9.334775219846051,-12.985458999872208,3
state · hold 20 · REPLACE edge 1,838,0.8146113267153191,-0.6529703681954183,2.3138679160200937,-1.2972050536105102,3
state · hold 20 · REPLACE edge 3,761,0.6834998339134726,-0.9790210031448191,2.3994154791608824,-1.4371694884643118,3
state · hold 60 · REPLACE edge 1,370,0.5669400160675995,-1.6269555941267595,3.2527523723128056,-4.230444537643052,2
state · hold 60 · REPLACE edge 3,328,1.634246694310405,-0.9725607179184054,4.569594968726146,-5.335867614679349,3
