rule,tested,good,stable,n_tot,m10_med,win_med,fail_med,tfs,unis,rep
Z6 ← Z7|T4|Z7,6,5,4,12299,0.1885,53.55,12.6,3,2,5
Z3 ← T2|Z9|T5,6,5,4,1068,0.185,51.75,10.4,3,3,5
Z3 ← Z5|T3|T2G,6,5,6,987,0.1815,51.15,13.399999999999999,3,3,5
Z1G ← T9|T6|T2G,6,5,5,1274,0.181,52.099999999999994,12.95,3,3,5
Z2G ← Z7|Z7|Z6,6,5,4,7372,0.17099999999999999,51.6,15.8,3,2,5
Z2G ← Z7|T5|Z7,6,5,4,4957,0.1665,51.8,17.95,3,2,5
Z2G ← Z9|T3|Z5,6,5,3,1234,0.16599999999999998,51.849999999999994,15.95,3,3,5
Z2G ← Z7|T1G|Z5,6,5,4,3407,0.164,51.05,14.9,3,2,5
Z2G ← Z7|T4|Z7,6,5,2,9073,0.16399999999999998,51.7,16.0,3,2,5
Z4 ← Z7|Z6|T5,6,5,4,3537,0.1635,51.2,17.65,3,2,5
T2 ← T6|Z3|T1,6,5,5,1358,0.1325,51.05,14.600000000000001,3,3,5
Z2G ← Z1G|T3|Z3,6,5,3,1365,0.1185,51.2,14.1,3,3,5
Z2G ← T3|Z7|Z6,6,5,5,1816,0.11599999999999999,50.9,18.1,3,3,5
Z1G ← T2G|Z9|T9,6,5,2,1961,0.10600000000000001,51.349999999999994,15.75,3,3,5
T1G ← Z4|T3|Z3,6,5,3,921,0.10550000000000001,51.5,14.649999999999999,3,3,5
Z1 ← Z5|Z2G|T3,6,5,5,1592,0.103,51.3,14.75,3,3,5
Z6 ← Z7|Z11|Z7,6,5,6,5223,0.0995,52.25,16.05,3,2,5
Z6 ← Z7|Z6|Z7,6,5,6,13714,0.099,51.6,15.05,3,2,5
Z4 ← Z5|Z2G|T3,6,5,2,1740,0.0945,51.05,14.95,3,3,5
Z4 ← Z3|Z2|T1G,6,5,3,1491,0.0885,51.25,11.85,3,3,5
Z6 ← Z7|T4|Z9,6,5,4,3770,0.0715,50.4,18.9,3,2,5
Z4 ← T2G|T10|T2,6,5,3,1363,0.0635,50.55,17.25,3,3,5
